case_id,mesh,operator,model,layer,seq_len,logical_M,logical_N,logical_K,runtime_M,runtime_N,runtime_K,tile_M,tile_N,tile_K,Tm,Tn,Tk,logical_flops,runtime_flops,T00_cycles,T10_cycles,T01_cycles,T11_cycles,inter_speedup_without_intra,inter_speedup_with_intra,intra_speedup_without_inter,intra_speedup_with_inter,total_speedup,synergy,normal_cycles,congested_upper_bound_cycles,congestion_factor,T00_source,T10_source,T01_source,T11_source,simulation_signature,schedule_source,result_source,status,error,K,M,N,Qfull,T00_T10_T01_source,T00_time,T01_time,T10_time,T11_time,a_broadcast_bytes,active_cores,algorithmic_theory_naive_time,algorithmic_theory_speedup,algorithmic_theory_time,b_broadcast_bytes,collective_bytes,core_schedule_efficiency,estimate_source,fanout_penalty,flops,hbm_bytes_per_die,hbm_cycles,hbm_traffic_model,intra_compute_efficiency,intra_k_waves,intra_pk,intra_pm,intra_pn,intra_spatial_utilization,local_transport_bytes,logical_collective_bytes,padding_K,padding_M,padding_N,q_window,rank_K,rank_N,rank_flops,reduction_bytes,runtime_collective_bytes,runtime_flops_over_logical_flops,segment_bytes,segmented_comm_efficiency,spatial_penalty,split_k_penalty,sram_capacity_bytes,t10_contention_tail,t11_contention_tail,theory_Px,theory_Py,theory_algorithm,theory_attainment_rate,theory_boundary_waves,theory_model,theory_naive_time,theory_speedup,theory_time,tile_live_bytes,topology_efficiency,wave_fill_efficiency
1x4_ag_gemm_llama_3_8b_mlp_s2048,1x4,AG_GEMM,LLaMA-3-8B,mlp,2048,2048,14336,4096,2048,14336,4096,128,512,256,16,7,8,240518168576,240518168576,9715745,9668302,2439162,2391764,1.0049070664114548,1.0198171725972964,3.9832307161229963,4.0423310995566455,4.062167086719258,1.014837298576361,2391764,2762487,1.155,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,,canonical_experiment_fallback,analytical_resource_replay_fallback,estimated_via_tiling_and_padding,,4096,2048,3584,112,analytical_resource_replay_fallback,0.009715745,0.002439162,0.009668302,0.002391764,22020096,16,0.007565344768,16.104631696428573,0.000469762048,29360128,12582912.0,0.7677826086956522,analytical_resource_replay_fallback,0.006,240518168576,469762048,1835008.0,fused_boundary_tile_replay_v1,0.791875,8,2,2,4,0.875,80740352,12582912.0,0,0,0,8,4096,3584,60129542144,29360128,12582912.0,1.0,112347.42857142857,0.7457142857142857,0.005,0.006,3145728,0.015205184396559816,0.015829885283161444,,,1d_ring,0.7674030134123031,1,flashoverlap_wave_schedule_contention,0.009715744767999999,5.293394755718499,0.001835446857142857,1703936,0.9304842103984707,0.30434782608695654
1x4_ag_gemm_llama_3_8b_mlp_s32768,1x4,AG_GEMM,LLaMA-3-8B,mlp,32768,32768,14336,4096,32768,14336,4096,128,512,256,256,7,8,3848290697216,3848290697216,155451916,154683350,37264305,36496492,1.0049686407748475,1.0210379945557508,4.171603790812682,4.238307341976867,4.259365968652549,1.015989905683538,36496492,42153449,1.155,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,,canonical_experiment_fallback,analytical_resource_replay_fallback,estimated_via_tiling_and_padding,,4096,32768,3584,1792,analytical_resource_replay_fallback,0.155451916,0.037264305,0.15468335,0.036496492,352321536,16,0.121045516288,16.104631696428573,0.007516192768,469762048,201326592.0,0.804875,analytical_resource_replay_fallback,0.006,3848290697216,7516192768,29360128.0,fused_boundary_tile_replay_v1,0.791875,8,2,2,4,0.875,1291845632,201326592.0,0,0,0,8,4096,3584,962072674304,469762048,201326592.0,1.0,112347.42857142857,0.7457142857142857,0.005,0.006,3145728,0.015205184396559816,0.015869977920468036,,,1d_ring,0.8044764083832394,1,flashoverlap_wave_schedule_contention,0.15545191628799998,5.294581574135431,0.029360566857142858,1703936,0.9304842103984707,0.875
1x4_ag_gemm_llama_3_1_405b_attention_s2048,1x4,AG_GEMM,LLaMA-3.1-405B,attention,2048,2048,18432,16384,2048,18432,16384,128,512,256,16,9,32,1236950581248,1236950581248,48694002,48503230,12510261,12319608,1.0039331813572003,1.0154755735734449,3.8923250282308257,3.9370757576052746,3.952560990576973,1.0114971717546386,12319608,14229147,1.155,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,,canonical_experiment_fallback,analytical_resource_replay_fallback,estimated_via_tiling_and_padding,,16384,2048,4608,144,analytical_resource_replay_fallback,0.048694002,0.012510261,0.04850323,0.012319608,28311552,16,0.038851313664,16.081380208333332,0.002415919104,37748736,50331648.0,0.7664,analytical_resource_replay_fallback,0.006,1236950581248,2415919104,9437184.0,fused_boundary_tile_replay_v1,0.67875,32,2,2,4,0.75,103809024,50331648.0,0,0,0,8,16384,4608,309237645312,37748736,50331648.0,1.0,349525.3333333333,0.7999999999999999,0.01,0.006,3145728,0.015152490160782739,0.01560058335981222,,,1d_ring,0.7661403997969362,1,flashoverlap_wave_schedule_contention,0.048694001663999995,5.159055692174164,0.009438549333333334,1703936,0.9304842103984707,0.36
1x4_ag_gemm_llama_3_1_405b_attention_s32768,1x4,AG_GEMM,LLaMA-3.1-405B,attention,32768,32768,18432,16384,32768,18432,16384,128,512,256,256,9,32,19791209299968,19791209299968,779104027,776024166,191536176,188458325,1.003968769446801,1.016331732758423,4.067659923418331,4.117749459993344,4.134091858239746,1.0123140915214264,188458325,217669366,1.155,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,,canonical_experiment_fallback,analytical_resource_replay_fallback,estimated_via_tiling_and_padding,,16384,32768,4608,2304,analytical_resource_replay_fallback,0.779104027,0.191536176,0.776024166,0.188458325,452984832,16,0.621621018624,16.081380208333332,0.038654705664,603979776,805306368.0,0.8015,analytical_resource_replay_fallback,0.006,19791209299968,38654705664,150994944.0,fused_boundary_tile_replay_v1,0.67875,32,2,2,4,0.75,1660944384,805306368.0,0,0,0,8,16384,4608,4947802324992,603979776,805306368.0,1.0,349525.3333333333,0.7999999999999999,0.01,0.006,3145728,0.015152490160782739,0.015628089200012386,,,1d_ring,0.8012185686474981,1,flashoverlap_wave_schedule_contention,0.7791040266239999,5.159755427558705,0.15099630933333336,1703936,0.9304842103984707,0.9
1x4_ag_gemm_llama_3_1_405b_mlp_s2048,1x4,AG_GEMM,LLaMA-3.1-405B,mlp,2048,2048,53248,16384,2048,53248,16384,128,512,256,16,26,32,3573412790272,3573412790272,140300190,140108516,34690071,34498446,1.0013680396129525,1.0055545980245024,4.044390396318301,4.061299340845672,4.066855359224006,1.0041808388583762,34498446,39845705,1.155,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,,canonical_experiment_fallback,analytical_resource_replay_fallback,estimated_via_tiling_and_padding,,16384,2048,13312,416,analytical_resource_replay_fallback,0.14030019,0.034690071,0.140108516,0.034498446,81788928,16,0.111865757696,16.028170072115383,0.006979321856,109051904,50331648.0,0.7903809523809524,analytical_resource_replay_fallback,0.006,3573412790272,6979321856,27262976.0,fused_boundary_tile_replay_v1,0.8403571428571429,32,2,2,4,0.9285714285714286,299892736,50331648.0,0,0,0,8,16384,13312,893353197568,109051904,50331648.0,1.0,120989.53846153847,0.7476923076923077,0.002857142857142856,0.006,3145728,0.015056477837326939,0.01522939846125828,,,1d_ring,0.7902804860966368,1,flashoverlap_wave_schedule_contention,0.140300189696,5.146091078765045,0.027263448615384617,1703936,0.9304842103984707,0.6190476190476191
1x4_ag_gemm_llama_3_1_405b_mlp_s32768,1x4,AG_GEMM,LLaMA-3.1-405B,mlp,32768,32768,53248,16384,32768,53248,16384,128,512,256,256,26,32,57174604644352,57174604644352,2244803035,2241726065,539861108,536784950,1.0013725896522507,1.0057307083590925,4.1581121546544155,4.176208861667973,4.181941082737137,1.0043521449976527,536784950,619986617,1.155,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,,canonical_experiment_fallback,analytical_resource_replay_fallback,estimated_via_tiling_and_padding,,16384,32768,13312,6656,analytical_resource_replay_fallback,2.244803035,0.539861108,2.241726065,0.53678495,1308622848,16,1.789852123136,16.028170072115383,0.111669149696,1744830464,805306368.0,0.8127354497354498,analytical_resource_replay_fallback,0.006,57174604644352,111669149696,436207616.0,fused_boundary_tile_replay_v1,0.8403571428571429,32,2,2,4,0.9285714285714286,4798283776,805306368.0,0,0,0,8,16384,13312,14293651161088,1744830464,805306368.0,1.0,120989.53846153847,0.7476923076923077,0.002857142857142856,0.006,3145728,0.015056477837326939,0.015235886582309118,,,1d_ring,0.8126309960608196,1,flashoverlap_wave_schedule_contention,2.244803035136,5.146174712764894,0.4362080886153846,1703936,0.9304842103984707,0.9629629629629629
1x4_ag_gemm_mixtral_8x7b_single_expert_attention_s2048,1x4,AG_GEMM,Mixtral-8x7B-single-expert,attention,2048,2048,6144,4096,2048,6144,4096,128,512,256,16,3,8,103079215104,103079215104,4265705,4219011,1093186,1046583,1.0110675226966699,1.0445287186969405,3.9020852810043305,4.031224470491113,4.075840138813644,1.0330949172524349,1046583,1208804,1.155,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,,canonical_experiment_fallback,analytical_resource_replay_fallback,estimated_via_tiling_and_padding,,4096,2048,1536,48,analytical_resource_replay_fallback,0.004265705,0.001093186,0.004219011,0.001046583,3145728,16,0.003270377472,16.244140625,0.000201326592,37748736,12582912.0,0.7532631578947369,analytical_resource_replay_fallback,0.006,103079215104,201326592,786432.0,fused_boundary_tile_replay_v1,0.67875,8,2,4,2,0.75,53477376,12582912.0,0,0,0,8,4096,1536,25769803776,12582912,12582912.0,1.0,262144.0,0.78,0.01,0.006,3145728,0.015449715651473322,0.01681627315798612,,,1d_ring,0.7524065581688704,1,flashoverlap_wave_schedule_contention,0.004265705472,5.417071521456437,0.000787456,1703936,0.9304842103984707,0.15789473684210525
1x4_ag_gemm_mixtral_8x7b_single_expert_attention_s32768,1x4,AG_GEMM,Mixtral-8x7B-single-expert,attention,32768,32768,6144,4096,32768,6144,4096,128,512,256,256,3,8,1649267441664,1649267441664,68251288,67483007,16678964,15912265,1.011384806844781,1.0481828953954702,4.092057995928284,4.240942882738567,4.289225198298293,1.0363838652722974,15912265,18378666,1.155,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,,canonical_experiment_fallback,analytical_resource_replay_fallback,estimated_via_tiling_and_padding,,4096,32768,1536,768,analytical_resource_replay_fallback,0.068251288,0.016678964,0.067483007,0.015912265,50331648,16,0.052326039552,16.244140625,0.003221225472,603979776,201326592.0,0.79175,analytical_resource_replay_fallback,0.006,1649267441664,3221225472,12582912.0,fused_boundary_tile_replay_v1,0.67875,8,2,4,2,0.75,855638016,201326592.0,0,0,0,8,4096,1536,412316860416,201326592,201326592.0,1.0,262144.0,0.78,0.01,0.006,3145728,0.015449715651473322,0.01690907288875592,,,1d_ring,0.7908324856706879,1,flashoverlap_wave_schedule_contention,0.068251287552,5.423683619497111,0.012583936,1703936,0.9304842103984707,0.75
1x4_ag_gemm_mixtral_8x7b_single_expert_mlp_s2048,1x4,AG_GEMM,Mixtral-8x7B-single-expert,mlp,2048,2048,14336,4096,2048,14336,4096,128,512,256,16,7,8,240518168576,240518168576,9715745,9668302,2439162,2391764,1.0049070664114548,1.0198171725972964,3.9832307161229963,4.0423310995566455,4.062167086719258,1.014837298576361,2391764,2762487,1.155,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,,canonical_experiment_fallback,analytical_resource_replay_fallback,estimated_via_tiling_and_padding,,4096,2048,3584,112,analytical_resource_replay_fallback,0.009715745,0.002439162,0.009668302,0.002391764,22020096,16,0.007565344768,16.104631696428573,0.000469762048,29360128,12582912.0,0.7677826086956522,analytical_resource_replay_fallback,0.006,240518168576,469762048,1835008.0,fused_boundary_tile_replay_v1,0.791875,8,2,2,4,0.875,80740352,12582912.0,0,0,0,8,4096,3584,60129542144,29360128,12582912.0,1.0,112347.42857142857,0.7457142857142857,0.005,0.006,3145728,0.015205184396559816,0.015829885283161444,,,1d_ring,0.7674030134123031,1,flashoverlap_wave_schedule_contention,0.009715744767999999,5.293394755718499,0.001835446857142857,1703936,0.9304842103984707,0.30434782608695654
1x4_ag_gemm_mixtral_8x7b_single_expert_mlp_s32768,1x4,AG_GEMM,Mixtral-8x7B-single-expert,mlp,32768,32768,14336,4096,32768,14336,4096,128,512,256,256,7,8,3848290697216,3848290697216,155451916,154683350,37264305,36496492,1.0049686407748475,1.0210379945557508,4.171603790812682,4.238307341976867,4.259365968652549,1.015989905683538,36496492,42153449,1.155,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,,canonical_experiment_fallback,analytical_resource_replay_fallback,estimated_via_tiling_and_padding,,4096,32768,3584,1792,analytical_resource_replay_fallback,0.155451916,0.037264305,0.15468335,0.036496492,352321536,16,0.121045516288,16.104631696428573,0.007516192768,469762048,201326592.0,0.804875,analytical_resource_replay_fallback,0.006,3848290697216,7516192768,29360128.0,fused_boundary_tile_replay_v1,0.791875,8,2,2,4,0.875,1291845632,201326592.0,0,0,0,8,4096,3584,962072674304,469762048,201326592.0,1.0,112347.42857142857,0.7457142857142857,0.005,0.006,3145728,0.015205184396559816,0.015869977920468036,,,1d_ring,0.8044764083832394,1,flashoverlap_wave_schedule_contention,0.15545191628799998,5.294581574135431,0.029360566857142858,1703936,0.9304842103984707,0.875
