case_id,mesh,operator,model,layer,seq_len,M,N,K,logical_M,logical_N,logical_K,runtime_M,runtime_N,runtime_K,padding_M,padding_N,padding_K,flops,logical_flops,runtime_flops,runtime_flops_over_logical_flops,rank_flops,collective_bytes,logical_collective_bytes,runtime_collective_bytes,theory_time,theory_naive_time,theory_speedup,theory_algorithm,theory_Px,theory_Py,rank_N,rank_K,Tm,Tn,Tk,algorithmic_theory_time,algorithmic_theory_naive_time,algorithmic_theory_speedup,theory_model,theory_attainment_rate,theory_boundary_waves,segment_bytes,segmented_comm_efficiency,topology_efficiency,core_schedule_efficiency,wave_fill_efficiency,split_k_penalty,fanout_penalty,spatial_penalty,t10_contention_tail,t11_contention_tail,intra_pm,intra_pn,intra_pk,active_cores,intra_k_waves,intra_compute_efficiency,intra_spatial_utilization,a_broadcast_bytes,b_broadcast_bytes,reduction_bytes,local_transport_bytes,hbm_traffic_model,hbm_bytes_per_die,hbm_cycles,tile_M,tile_N,tile_K,Qfull,q_window,tile_live_bytes,sram_capacity_bytes,T00_cycles,T10_cycles,T01_cycles,T11_cycles,T00_time,T10_time,T01_time,T11_time,inter_speedup_without_intra,inter_speedup_with_intra,intra_speedup_without_inter,intra_speedup_with_inter,total_speedup,synergy,congestion_factor,normal_cycles,congested_upper_bound_cycles,estimate_source,T11_source,T00_T10_T01_source,schedule_source,status,error
1x4_gemm_rs_deepseek_v3_single_routed_expert_mlp_s2048,1x4,GEMM_RS,DeepSeek-V3-single-routed-expert,mlp,2048,2048,7168,512,2048,7168,2048,2048,7168,2048,0,0,0,60129542144,60129542144,60129542144,1.0,15032385536,22020096.0,22020096.0,22020096.0,0.000631168,0.003169288192,5.021306834313527,1d_ring,,,7168,512,16,14,2,0.000117440512,0.001965064192,16.732421875,flashoverlap_wave_schedule_contention,0.7759740268641069,1,98304.0,0.7424999999999999,0.9304842103984707,0.7783333333333333,0.4666666666666667,0.0,0.012,0.005,0.01613062853517644,0.019301468724555192,2,8,1,16,2,0.805,0.875,102760448,58720256,0,161480704,fused_boundary_tile_replay_v1,146800640,573440.0,128,512,256,224,8,1703936,3145728,3169288,3085836,896445,813388,0.003169288,0.003085836,0.000896445,0.000813388,1.0270435629113148,1.10211239900269,3.53539592501492,3.7938056622423737,3.896403684342528,1.0730921635676105,1.155,813388,939463,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
1x4_gemm_rs_deepseek_v3_single_routed_expert_mlp_s32768,1x4,GEMM_RS,DeepSeek-V3-single-routed-expert,mlp,32768,32768,7168,512,32768,7168,2048,32768,7168,2048,0,0,0,962072674304,962072674304,962072674304,1.0,240518168576,352321536.0,352321536.0,352321536.0,0.010092928,0.050708611072,5.02417247720384,1d_ring,,,7168,512,256,14,2,0.001879048192,0.031441027072,16.732421875,flashoverlap_wave_schedule_contention,0.806156384245747,1,98304.0,0.7424999999999999,0.9304842103984707,0.8086666666666666,0.9333333333333333,0.0,0.012,0.005,0.01613062853517644,0.019469106263713447,2,8,1,16,2,0.805,0.875,1644167168,939524096,0,2583691264,fused_boundary_tile_replay_v1,2348810240,9175040.0,128,512,256,3584,8,1703936,3145728,50708611,49365043,13856731,12519814,0.050708611,0.049365043,0.013856731,0.012519814,1.0272169923968262,1.1067840943962906,3.6594930651392454,3.9429533857292127,4.0502687180496455,1.077458903608875,1.155,12519814,14460385,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
2x3_ag_gemm_llama_2_7b_attention_s2048,2x3,AG_GEMM,LLaMA-2-7B,attention,2048,2052,2048,4128,2048,12288,4096,2048,12288,4096,0,0,0,206158430208,206158430208,206158430208,1.0097808837890625,34359738368,13981013.333333334,13981013.333333334,13981013.333333334,0.0010494293333333333,0.005578380629333333,5.315632460562694,1d_ring,,,2048,4096,16,4,8,0.000268435456,0.004349580629333333,16.203450520833332,flashoverlap_wave_schedule_contention,0.7652522243136629,1,218453.33333333334,0.77,0.9304842103984707,0.766,0.2,0.006,0.006,0.0,0.015386386201313936,0.016559142605048937,2,4,2,16,8,0.905,1.0,12582912,16777216,16777216,46137344,fused_boundary_tile_replay_v1,268435456,1048576.0,128,512,256,64,8,1703936,3145728,5578381,5526131,1423512,1371351,0.005578381,0.005526131,0.001423512,0.001371351,1.0094550780645628,1.03803621392335,3.918745328455257,4.029698450651948,4.06779956407951,1.0283134301662895,1.155,1371351,1583911,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
2x3_ag_gemm_llama_2_7b_attention_s32768,2x3,AG_GEMM,LLaMA-2-7B,attention,32768,32772,2048,4128,32768,12288,4096,32768,12288,4096,0,0,0,3298534883328,3298534883328,3298534883328,1.0079355239868164,549755813888,223696213.33333334,223696213.33333334,223696213.33333334,0.016778069333333333,0.08925409006933333,5.319687760021972,1d_ring,,,2048,4096,256,4,8,0.004294967296,0.06959329006933333,16.203450520833332,flashoverlap_wave_schedule_contention,0.8042119345315322,1,218453.33333333334,0.77,0.9304842103984707,0.805,0.8,0.006,0.006,0.0,0.015386386201313936,0.016638524539248557,2,4,2,16,8,0.905,1.0,201326592,268435456,268435456,738197504,fused_boundary_tile_replay_v1,4294967296,16777216.0,128,512,256,1024,8,1703936,3145728,89254090,88400233,21715075,20862746,0.08925409,0.088400233,0.021715075,0.020862746,1.009658990378453,1.0408541138352545,4.110236322002112,4.237229030157391,4.278156384590983,1.0308966926002496,1.155,20862746,24096471,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
2x3_ag_gemm_llama_2_7b_mlp_s2048,2x3,AG_GEMM,LLaMA-2-7B,mlp,2048,2052,1836,4128,2048,11008,4096,2048,12288,4096,0,1280,0,184683593728,184683593728,206158430208,1.010514736175537,34359738368,13981013.333333334,13981013.333333334,13981013.333333334,0.0010494293333333333,0.005578380629333333,5.315632460562694,1d_ring,,,2048,4096,16,4,8,0.000268435456,0.004349580629333333,16.203450520833332,flashoverlap_wave_schedule_contention,0.7652522243136629,1,218453.33333333334,0.77,0.9304842103984707,0.766,0.2,0.006,0.006,0.0,0.015386386201313936,0.016559142605048937,2,4,2,16,8,0.905,1.0,12582912,16777216,16777216,46137344,fused_boundary_tile_replay_v1,268435456,1048576.0,128,512,256,64,8,1703936,3145728,5578381,5526131,1423512,1371351,0.005578381,0.005526131,0.001423512,0.001371351,1.0094550780645628,1.03803621392335,3.918745328455257,4.029698450651948,4.06779956407951,1.0283134301662895,1.155,1371351,1583911,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
2x3_ag_gemm_llama_2_7b_mlp_s32768,2x3,AG_GEMM,LLaMA-2-7B,mlp,32768,32772,1836,4128,32768,11008,4096,32768,12288,4096,0,1280,0,2954937499648,2954937499648,3298534883328,1.0086680352687836,549755813888,223696213.33333334,223696213.33333334,223696213.33333334,0.016778069333333333,0.08925409006933333,5.319687760021972,1d_ring,,,2048,4096,256,4,8,0.004294967296,0.06959329006933333,16.203450520833332,flashoverlap_wave_schedule_contention,0.8042119345315322,1,218453.33333333334,0.77,0.9304842103984707,0.805,0.8,0.006,0.006,0.0,0.015386386201313936,0.016638524539248557,2,4,2,16,8,0.905,1.0,201326592,268435456,268435456,738197504,fused_boundary_tile_replay_v1,4294967296,16777216.0,128,512,256,1024,8,1703936,3145728,89254090,88400233,21715075,20862746,0.08925409,0.088400233,0.021715075,0.020862746,1.009658990378453,1.0408541138352545,4.110236322002112,4.237229030157391,4.278156384590983,1.0308966926002496,1.155,20862746,24096471,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
2x3_ag_gemm_gpt_3_175b_attention_s2048,2x3,AG_GEMM,GPT-3-175B,attention,2048,2052,6144,12288,2048,36864,12288,2048,36864,12288,0,0,0,1855425871872,1855425871872,1855425871872,1.001953125,309237645312,41943040.0,41943040.0,41943040.0,0.009438037333333335,0.048796401664,5.170185276938933,1d_ring,,,6144,12288,16,12,24,0.002415919104,0.038818545664,16.06781684027778,flashoverlap_wave_schedule_contention,0.780621459091465,1,218453.33333333334,0.77,0.9304842103984707,0.7808571428571429,0.42857142857142855,0.006,0.006,0.0,0.015131659163495608,0.01552979444729563,2,4,2,16,24,0.905,1.0,37748736,50331648,50331648,138412032,fused_boundary_tile_replay_v1,2415919104,9437184.0,128,512,256,192,8,1703936,3145728,48796402,48637213,12249513,12090415,0.048796402,0.048637213,0.012249513,0.012090415,1.003272987701824,1.0131590189418642,3.9835381210665273,4.022791029092054,4.03595757465728,1.0098537799394818,1.155,12090415,13964430,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
2x3_ag_gemm_gpt_3_175b_attention_s32768,2x3,AG_GEMM,GPT-3-175B,attention,32768,32772,6144,12288,32768,36864,12288,32768,36864,12288,0,0,0,29686813949952,29686813949952,29686813949952,1.0001220703125,4947802324992,671088640.0,671088640.0,671088640.0,0.15099579733333335,0.780742426624,5.170623556498454,1d_ring,,,6144,12288,256,12,24,0.038654705664,0.621096730624,16.06781684027778,flashoverlap_wave_schedule_contention,0.8127503813496041,1,218453.33333333334,0.77,0.9304842103984707,0.8130000000000001,0.9230769230769231,0.006,0.006,0.0,0.015131659163495608,0.015551602670976845,2,4,2,16,24,0.905,1.0,603979776,805306368,805306368,2214592512,fused_boundary_tile_replay_v1,38654705664,150994944.0,128,512,256,3072,8,1703936,3145728,780742427,778177542,188347078,185783730,0.780742427,0.778177542,0.188347078,0.18578373,1.0032960151913508,1.0137974837732022,4.145232489351388,4.188620510525868,4.202426267359365,1.0104669692920576,1.155,185783730,214580208,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
2x3_ag_gemm_gpt_3_175b_mlp_s2048,2x3,AG_GEMM,GPT-3-175B,mlp,2048,2052,8192,12288,2048,49152,12288,2048,49152,12288,0,0,0,2473901162496,2473901162496,2473901162496,1.001953125,412316860416,41943040.0,41943040.0,41943040.0,0.012583552,0.065007255552,5.16604974112238,1d_ring,,,8192,12288,16,16,48,0.003221225472,0.051703447552,16.050862630208332,flashoverlap_wave_schedule_contention,0.7853198920558628,1,163840.0,0.7575,0.9304842103984707,0.7855,0.5,0.0,0.012,0.0,0.015100373817714473,0.015406304241107109,2,8,1,16,48,0.92,1.0,117440512,67108864,0,184549376,fused_boundary_tile_replay_v1,3221225472,12582912.0,128,512,256,256,8,1703936,3145728,65007256,64847834,16182824,16023473,0.065007256,0.064847834,0.016182824,0.016023473,1.0024584013091324,1.0099448477867439,4.017052647918558,4.047052346267254,4.057001625053445,1.0074680869229433,1.155,16023473,18507112,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
2x3_ag_gemm_gpt_3_175b_mlp_s32768,2x3,AG_GEMM,GPT-3-175B,mlp,32768,32772,8192,12288,32768,49152,12288,32768,49152,12288,0,0,0,39582418599936,39582418599936,39582418599936,1.0001220703125,6597069766656,671088640.0,671088640.0,671088640.0,0.201327232,1.040116088832,5.166296076787069,1d_ring,,,8192,12288,256,16,48,0.051539607552,0.827255160832,16.050862630208332,flashoverlap_wave_schedule_contention,0.8139872696855718,1,163840.0,0.7575,0.9304842103984707,0.8141764705882353,0.9411764705882353,0.0,0.012,0.0,0.015100373817714473,0.015421137304913578,2,8,1,16,48,0.92,1.0,1879048192,1073741824,0,2952790016,fused_boundary_tile_replay_v1,51539607552,201326592.0,128,512,256,4096,8,1703936,3145728,1040116089,1037551718,249897797,247334620,1.040116089,1.037551718,0.249897797,0.24733462,1.0024715596875915,1.0103631954151828,4.162165899365651,4.194931215047857,4.205299237931188,1.007872179166909,1.155,247334620,285671486,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
2x3_ag_gemm_llama_3_8b_attention_s2048,2x3,AG_GEMM,LLaMA-3-8B,attention,2048,2052,1024,4128,2048,6144,4096,2048,6144,4096,0,0,0,103079215104,103079215104,103079215104,1.0097808837890625,17179869184,13981013.333333334,13981013.333333334,13981013.333333334,0.0005259946666666666,0.0028656489813333333,5.448057105775471,1d_ring,,,1024,4096,16,2,8,0.000134217728,0.0022020969813333333,16.406901041666668,flashoverlap_wave_schedule_contention,0.7588260151463272,1,436906.6666666667,0.82,0.9304842103984707,0.7602222222222222,0.1111111111111111,0.006,0.006,0.0,0.01571296383770161,0.017906059476208908,4,2,2,16,8,0.905,1.0,2097152,25165824,8388608,35651584,fused_boundary_tile_replay_v1,134217728,524288.0,128,512,256,32,8,1703936,3145728,2865649,2814397,744264,693169,0.002865649,0.002814397,0.000744264,0.000693169,1.0182106504519441,1.0737121827433136,3.850312523513162,4.060188785130322,4.134127463865234,1.0545088899499673,1.155,693169,800611,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
2x3_ag_gemm_llama_3_8b_attention_s32768,2x3,AG_GEMM,LLaMA-3-8B,attention,32768,32772,1024,4128,32768,6144,4096,32768,6144,4096,0,0,0,1649267441664,1649267441664,1649267441664,1.0079355239868164,274877906944,223696213.33333334,223696213.33333334,223696213.33333334,0.008390314666666666,0.04585038370133333,5.464679874699972,1d_ring,,,1024,4096,256,2,8,0.002147483648,0.035233551701333334,16.406901041666668,flashoverlap_wave_schedule_contention,0.7947674550597342,1,436906.6666666667,0.82,0.9304842103984707,0.7963333333333333,0.6666666666666666,0.006,0.006,0.0,0.01571296383770161,0.01804409942502035,4,2,2,16,8,0.905,1.0,33554432,402653184,134217728,570425344,fused_boundary_tile_replay_v1,2147483648,8388608.0,128,512,256,512,8,1703936,3145728,45850384,44996802,11407854,10556943,0.045850384,0.044996802,0.011407854,0.010556943,1.0189698370119726,1.080602026552573,4.019194495301219,4.262294681329624,4.343149716731444,1.060484802691835,1.155,10556943,12193269,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
2x3_ag_gemm_llama_3_8b_mlp_s2048,2x3,AG_GEMM,LLaMA-3-8B,mlp,2048,2052,2390,4128,2048,14336,4096,2048,15360,4096,0,1024,0,240518168576,240518168576,257698037760,1.0100626306874412,42949672960,13981013.333333334,13981013.333333334,13981013.333333334,0.0013114026666666667,0.006959322453333333,5.306777719937532,1d_ring,,,2560,4096,16,5,8,0.00033554432,0.005423322453333333,16.162760416666668,flashoverlap_wave_schedule_contention,0.7529076976486859,1,174762.6666666667,0.76,0.9304842103984707,0.7534761904761905,0.23809523809523808,0.006,0.006,0.015,0.015313176184222874,0.01624306466875811,2,4,2,16,8,0.565625,0.625,15728640,20971520,20971520,57671680,fused_boundary_tile_replay_v1,335544320,1310720.0,128,512,256,80,8,1703936,3145728,6959322,6906857,1794177,1741784,0.006959322,0.006906857,0.001794177,0.001741784,1.0075960744518093,1.030080078815743,3.8788380410628385,3.9653923793076524,3.9955137950515103,1.022314501747306,1.155,1741784,2011760,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
2x3_ag_gemm_llama_3_8b_mlp_s32768,2x3,AG_GEMM,LLaMA-3-8B,mlp,32768,32772,2390,4128,32768,14336,4096,32768,15360,4096,0,1024,0,3848290697216,3848290697216,4123168604160,1.0082167559968573,687194767360,223696213.33333334,223696213.33333334,223696213.33333334,0.02097220266666667,0.11134915925333333,5.309368835649881,1d_ring,,,2560,4096,256,5,8,0.00536870912,0.08677315925333333,16.162760416666668,flashoverlap_wave_schedule_contention,0.7915611093068552,1,174762.6666666667,0.76,0.9304842103984707,0.7921666666666667,0.8333333333333334,0.006,0.006,0.015,0.015313176184222874,0.016306895171404004,2,4,2,16,8,0.565625,0.625,251658240,335544320,335544320,922746880,fused_boundary_tile_replay_v1,5368709120,20971520.0,128,512,256,1280,8,1703936,3145728,111349159,110495233,27347434,26494736,0.111349159,0.110495233,0.027347434,0.026494736,1.0077281704994459,1.0321836760328542,4.071649245044343,4.170459860403969,4.202689885266266,1.0242679586115846,1.155,26494736,30601420,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
2x3_ag_gemm_llama_3_1_405b_attention_s2048,2x3,AG_GEMM,LLaMA-3.1-405B,attention,2048,2052,3072,16416,2048,18432,16384,2048,18432,16384,0,0,0,1236950581248,1236950581248,1236950581248,1.0039100646972656,206158430208,55924053.333333336,55924053.333333336,55924053.333333336,0.006293731555555556,0.03255004910933333,5.17182037746764,1d_ring,,,3072,16384,16,6,32,0.001610612736,0.025988257109333335,16.135633680555557,flashoverlap_wave_schedule_contention,0.7603249911165214,1,582542.2222222222,0.84,0.9304842103984707,0.7607272727272727,0.2727272727272727,0.006,0.006,0.01,0.015242047874258313,0.015946250748408,2,4,2,16,32,0.67875,0.75,18874368,25165824,25165824,69206016,fused_boundary_tile_replay_v1,1610612736,6291456.0,128,512,256,96,8,1703936,3145728,32550049,32338767,8488771,8277686,0.032550049,0.032338767,0.008488771,0.008277686,1.0065333968979089,1.025500484072481,3.834483107154145,3.9067399995602634,3.9322642825543275,1.018843972026192,1.155,8277686,9560727,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
2x3_ag_gemm_llama_3_1_405b_attention_s32768,2x3,AG_GEMM,LLaMA-3.1-405B,attention,32768,32772,3072,16416,32768,18432,16384,32768,18432,16384,0,0,0,19791209299968,19791209299968,19791209299968,1.002075433731079,3298534883328,894784853.3333334,894784853.3333334,894784853.3333334,0.10066557155555556,0.5208007857493333,5.173574020407886,1d_ring,,,3072,16384,256,6,32,0.025769803776,0.41581211374933336,16.135633680555557,flashoverlap_wave_schedule_contention,0.7982609025988767,1,582542.2222222222,0.84,0.9304842103984707,0.7987142857142857,0.8571428571428571,0.006,0.006,0.01,0.015242047874258313,0.015993501899717297,2,4,2,16,32,0.67875,0.75,301989888,402653184,402653184,1107296256,fused_boundary_tile_replay_v1,25769803776,100663296.0,128,512,256,1536,8,1703936,3145728,520800786,517376604,129526924,126106103,0.520800786,0.517376604,0.129526924,0.126106103,1.0066183549343488,1.0271265301093317,4.020791739020993,4.1027086849238374,4.129861867192899,1.0203733371982082,1.155,126106103,145652549,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
2x3_ag_gemm_llama_3_1_405b_mlp_s2048,2x3,AG_GEMM,LLaMA-3.1-405B,mlp,2048,2052,8876,16416,2048,53248,16384,2048,55296,16384,0,2048,0,3573412790272,3573412790272,3710851743744,1.004060892531505,618475290624,55924053.333333336,55924053.333333336,55924053.333333336,0.01887512651851852,0.09721324066133333,5.1503358436276825,1d_ring,,,9216,16384,16,18,32,0.004831838208,0.07752786466133332,16.04521122685185,flashoverlap_wave_schedule_contention,0.7832552635759635,1,194180.74074074076,0.7644444444444444,0.9304842103984707,0.7834117647058824,0.5294117647058824,0.006,0.006,0.003999999999999999,0.01508865707022252,0.015356927032580198,2,4,2,16,32,0.8145,0.9,56623104,75497472,75497472,207618048,fused_boundary_tile_replay_v1,4831838208,18874368.0,128,512,256,288,8,1703936,3145728,97213241,97000488,24310979,24098308,0.097213241,0.097000488,0.024310979,0.024098308,1.0021933188624783,1.008825142412488,3.9987382244047023,4.025199113564321,4.034027658705333,1.00661730967987,1.155,24098308,27833546,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
2x3_ag_gemm_llama_3_1_405b_mlp_s32768,2x3,AG_GEMM,LLaMA-3.1-405B,mlp,32768,32772,8876,16416,32768,53248,16384,32768,55296,16384,0,2048,0,57174604644352,57174604644352,59373627899904,1.0022259859296565,9895604649984,894784853.3333334,894784853.3333334,894784853.3333334,0.30199064651851854,1.5554118505813332,5.150529887308788,1d_ring,,,9216,16384,256,18,32,0.077309411328,1.2404458345813332,16.04521122685185,flashoverlap_wave_schedule_contention,0.810414381893223,1,194180.74074074076,0.7644444444444444,0.9304842103984707,0.8105789473684211,0.9473684210526315,0.006,0.006,0.003999999999999999,0.01508865707022252,0.015369304561650043,2,4,2,16,32,0.8145,0.9,905969664,1207959552,1207959552,3321888768,fused_boundary_tile_replay_v1,77309411328,301989888.0,128,512,256,4608,8,1703936,3145728,1555411851,1551991807,376055988,372637324,1.555411851,1.551991807,0.376055988,0.372637324,1.0022036482309857,1.0091742393469958,4.13611776074152,4.164885552366193,4.174063495045923,1.0069552641604467,1.155,372637324,430396109,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
2x3_ag_gemm_mixtral_8x7b_single_expert_attention_s2048,2x3,AG_GEMM,Mixtral-8x7B-single-expert,attention,2048,2052,1024,4128,2048,6144,4096,2048,6144,4096,0,0,0,103079215104,103079215104,103079215104,1.0097808837890625,17179869184,13981013.333333334,13981013.333333334,13981013.333333334,0.0005259946666666666,0.0028656489813333333,5.448057105775471,1d_ring,,,1024,4096,16,2,8,0.000134217728,0.0022020969813333333,16.406901041666668,flashoverlap_wave_schedule_contention,0.7588260151463272,1,436906.6666666667,0.82,0.9304842103984707,0.7602222222222222,0.1111111111111111,0.006,0.006,0.0,0.01571296383770161,0.017906059476208908,4,2,2,16,8,0.905,1.0,2097152,25165824,8388608,35651584,fused_boundary_tile_replay_v1,134217728,524288.0,128,512,256,32,8,1703936,3145728,2865649,2814397,744264,693169,0.002865649,0.002814397,0.000744264,0.000693169,1.0182106504519441,1.0737121827433136,3.850312523513162,4.060188785130322,4.134127463865234,1.0545088899499673,1.155,693169,800611,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
2x3_ag_gemm_mixtral_8x7b_single_expert_attention_s32768,2x3,AG_GEMM,Mixtral-8x7B-single-expert,attention,32768,32772,1024,4128,32768,6144,4096,32768,6144,4096,0,0,0,1649267441664,1649267441664,1649267441664,1.0079355239868164,274877906944,223696213.33333334,223696213.33333334,223696213.33333334,0.008390314666666666,0.04585038370133333,5.464679874699972,1d_ring,,,1024,4096,256,2,8,0.002147483648,0.035233551701333334,16.406901041666668,flashoverlap_wave_schedule_contention,0.7947674550597342,1,436906.6666666667,0.82,0.9304842103984707,0.7963333333333333,0.6666666666666666,0.006,0.006,0.0,0.01571296383770161,0.01804409942502035,4,2,2,16,8,0.905,1.0,33554432,402653184,134217728,570425344,fused_boundary_tile_replay_v1,2147483648,8388608.0,128,512,256,512,8,1703936,3145728,45850384,44996802,11407854,10556943,0.045850384,0.044996802,0.011407854,0.010556943,1.0189698370119726,1.080602026552573,4.019194495301219,4.262294681329624,4.343149716731444,1.060484802691835,1.155,10556943,12193269,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
2x3_ag_gemm_mixtral_8x7b_single_expert_mlp_s2048,2x3,AG_GEMM,Mixtral-8x7B-single-expert,mlp,2048,2052,2390,4128,2048,14336,4096,2048,15360,4096,0,1024,0,240518168576,240518168576,257698037760,1.0100626306874412,42949672960,13981013.333333334,13981013.333333334,13981013.333333334,0.0013114026666666667,0.006959322453333333,5.306777719937532,1d_ring,,,2560,4096,16,5,8,0.00033554432,0.005423322453333333,16.162760416666668,flashoverlap_wave_schedule_contention,0.7529076976486859,1,174762.6666666667,0.76,0.9304842103984707,0.7534761904761905,0.23809523809523808,0.006,0.006,0.015,0.015313176184222874,0.01624306466875811,2,4,2,16,8,0.565625,0.625,15728640,20971520,20971520,57671680,fused_boundary_tile_replay_v1,335544320,1310720.0,128,512,256,80,8,1703936,3145728,6959322,6906857,1794177,1741784,0.006959322,0.006906857,0.001794177,0.001741784,1.0075960744518093,1.030080078815743,3.8788380410628385,3.9653923793076524,3.9955137950515103,1.022314501747306,1.155,1741784,2011760,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
2x3_ag_gemm_mixtral_8x7b_single_expert_mlp_s32768,2x3,AG_GEMM,Mixtral-8x7B-single-expert,mlp,32768,32772,2390,4128,32768,14336,4096,32768,15360,4096,0,1024,0,3848290697216,3848290697216,4123168604160,1.0082167559968573,687194767360,223696213.33333334,223696213.33333334,223696213.33333334,0.02097220266666667,0.11134915925333333,5.309368835649881,1d_ring,,,2560,4096,256,5,8,0.00536870912,0.08677315925333333,16.162760416666668,flashoverlap_wave_schedule_contention,0.7915611093068552,1,174762.6666666667,0.76,0.9304842103984707,0.7921666666666667,0.8333333333333334,0.006,0.006,0.015,0.015313176184222874,0.016306895171404004,2,4,2,16,8,0.565625,0.625,251658240,335544320,335544320,922746880,fused_boundary_tile_replay_v1,5368709120,20971520.0,128,512,256,1280,8,1703936,3145728,111349159,110495233,27347434,26494736,0.111349159,0.110495233,0.027347434,0.026494736,1.0077281704994459,1.0321836760328542,4.071649245044343,4.170459860403969,4.202689885266266,1.0242679586115846,1.155,26494736,30601420,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
2x3_ag_gemm_deepseek_v3_single_routed_expert_mlp_s2048,2x3,AG_GEMM,DeepSeek-V3-single-routed-expert,mlp,2048,2052,342,7200,2048,2048,7168,2048,3072,7168,0,1024,0,60129542144,60129542144,90194313216,1.0083918060575212,15032385536,24466773.333333336,24466773.333333336,24466773.333333336,0.0004647253333333333,0.0025316775253333332,5.447685640837312,1d_ring,,,512,7168,16,1,7,0.000117440512,0.0019746215253333334,16.813802083333336,flashoverlap_wave_schedule_contention,0.7496260470158309,1,1529173.3333333335,0.84,0.9304842103984707,0.7523235294117647,0.058823529411764705,0.012,0.0045000000000000005,0.0,0.01640543450436702,0.02061478517944011,4,1,4,16,7,0.89,1.0,0,12582912,12582912,25165824,fused_boundary_tile_replay_v1,117440512,458752.0,128,512,256,16,8,1703936,3145728,2531678,2445753,705354,619943,0.002531678,0.002445753,0.000705354,0.000619943,1.0351323293889447,1.1377723435864264,3.589230372266975,3.9451256002567976,4.083727052325778,1.0991564182504778,1.155,619943,716035,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
