case_id,mesh,operator,model,layer,seq_len,M,N,K,logical_M,logical_N,logical_K,runtime_M,runtime_N,runtime_K,padding_M,padding_N,padding_K,flops,logical_flops,runtime_flops,runtime_flops_over_logical_flops,rank_flops,collective_bytes,logical_collective_bytes,runtime_collective_bytes,theory_time,theory_naive_time,theory_speedup,theory_algorithm,theory_Px,theory_Py,rank_N,rank_K,Tm,Tn,Tk,algorithmic_theory_time,algorithmic_theory_naive_time,algorithmic_theory_speedup,theory_model,theory_attainment_rate,theory_boundary_waves,segment_bytes,segmented_comm_efficiency,topology_efficiency,core_schedule_efficiency,wave_fill_efficiency,split_k_penalty,fanout_penalty,spatial_penalty,t10_contention_tail,t11_contention_tail,intra_pm,intra_pn,intra_pk,active_cores,intra_k_waves,intra_compute_efficiency,intra_spatial_utilization,a_broadcast_bytes,b_broadcast_bytes,reduction_bytes,local_transport_bytes,hbm_traffic_model,hbm_bytes_per_die,hbm_cycles,tile_M,tile_N,tile_K,Qfull,q_window,tile_live_bytes,sram_capacity_bytes,T00_cycles,T10_cycles,T01_cycles,T11_cycles,T00_time,T10_time,T01_time,T11_time,inter_speedup_without_intra,inter_speedup_with_intra,intra_speedup_without_inter,intra_speedup_with_inter,total_speedup,synergy,congestion_factor,normal_cycles,congested_upper_bound_cycles,estimate_source,T11_source,T00_T10_T01_source,schedule_source,status,error
1x4_ag_gemm_llama_3_8b_mlp_s2048,1x4,AG_GEMM,LLaMA-3-8B,mlp,2048,2048,3584,4096,2048,14336,4096,2048,14336,4096,0,0,0,240518168576,240518168576,240518168576,1.0,60129542144,12582912.0,12582912.0,12582912.0,0.001835446857142857,0.009715744767999999,5.293394755718499,1d_ring,,,3584,4096,16,7,8,0.000469762048,0.007565344768,16.104631696428573,flashoverlap_wave_schedule_contention,0.7674030134123031,1,112347.42857142857,0.7457142857142857,0.9304842103984707,0.7677826086956522,0.30434782608695654,0.006,0.006,0.005,0.015205184396559816,0.015829885283161444,2,4,2,16,8,0.791875,0.875,22020096,29360128,29360128,80740352,fused_boundary_tile_replay_v1,469762048,1835008.0,128,512,256,112,8,1703936,3145728,9715745,9668302,2439162,2391764,0.009715745,0.009668302,0.002439162,0.002391764,1.0049070664114548,1.0198171725972964,3.9832307161229963,4.0423310995566455,4.062167086719258,1.014837298576361,1.155,2391764,2762487,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
1x4_ag_gemm_llama_3_8b_mlp_s32768,1x4,AG_GEMM,LLaMA-3-8B,mlp,32768,32768,3584,4096,32768,14336,4096,32768,14336,4096,0,0,0,3848290697216,3848290697216,3848290697216,1.0,962072674304,201326592.0,201326592.0,201326592.0,0.029360566857142858,0.15545191628799998,5.294581574135431,1d_ring,,,3584,4096,256,7,8,0.007516192768,0.121045516288,16.104631696428573,flashoverlap_wave_schedule_contention,0.8044764083832394,1,112347.42857142857,0.7457142857142857,0.9304842103984707,0.804875,0.875,0.006,0.006,0.005,0.015205184396559816,0.015869977920468036,2,4,2,16,8,0.791875,0.875,352321536,469762048,469762048,1291845632,fused_boundary_tile_replay_v1,7516192768,29360128.0,128,512,256,1792,8,1703936,3145728,155451916,154683350,37264305,36496492,0.155451916,0.15468335,0.037264305,0.036496492,1.0049686407748475,1.0210379945557508,4.171603790812682,4.238307341976867,4.259365968652549,1.015989905683538,1.155,36496492,42153449,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
1x4_ag_gemm_llama_3_1_405b_attention_s2048,1x4,AG_GEMM,LLaMA-3.1-405B,attention,2048,2048,4608,16384,2048,18432,16384,2048,18432,16384,0,0,0,1236950581248,1236950581248,1236950581248,1.0,309237645312,50331648.0,50331648.0,50331648.0,0.009438549333333334,0.048694001663999995,5.159055692174164,1d_ring,,,4608,16384,16,9,32,0.002415919104,0.038851313664,16.081380208333332,flashoverlap_wave_schedule_contention,0.7661403997969362,1,349525.3333333333,0.7999999999999999,0.9304842103984707,0.7664,0.36,0.006,0.006,0.01,0.015152490160782739,0.01560058335981222,2,4,2,16,32,0.67875,0.75,28311552,37748736,37748736,103809024,fused_boundary_tile_replay_v1,2415919104,9437184.0,128,512,256,144,8,1703936,3145728,48694002,48503230,12510261,12319608,0.048694002,0.04850323,0.012510261,0.012319608,1.0039331813572003,1.0154755735734449,3.8923250282308257,3.9370757576052746,3.952560990576973,1.0114971717546386,1.155,12319608,14229147,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
1x4_ag_gemm_llama_3_1_405b_attention_s32768,1x4,AG_GEMM,LLaMA-3.1-405B,attention,32768,32768,4608,16384,32768,18432,16384,32768,18432,16384,0,0,0,19791209299968,19791209299968,19791209299968,1.0,4947802324992,805306368.0,805306368.0,805306368.0,0.15099630933333336,0.7791040266239999,5.159755427558705,1d_ring,,,4608,16384,256,9,32,0.038654705664,0.621621018624,16.081380208333332,flashoverlap_wave_schedule_contention,0.8012185686474981,1,349525.3333333333,0.7999999999999999,0.9304842103984707,0.8015,0.9,0.006,0.006,0.01,0.015152490160782739,0.015628089200012386,2,4,2,16,32,0.67875,0.75,452984832,603979776,603979776,1660944384,fused_boundary_tile_replay_v1,38654705664,150994944.0,128,512,256,2304,8,1703936,3145728,779104027,776024166,191536176,188458325,0.779104027,0.776024166,0.191536176,0.188458325,1.003968769446801,1.016331732758423,4.067659923418331,4.117749459993344,4.134091858239746,1.0123140915214266,1.155,188458325,217669366,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
1x4_ag_gemm_llama_3_1_405b_mlp_s2048,1x4,AG_GEMM,LLaMA-3.1-405B,mlp,2048,2048,13312,16384,2048,53248,16384,2048,53248,16384,0,0,0,3573412790272,3573412790272,3573412790272,1.0,893353197568,50331648.0,50331648.0,50331648.0,0.027263448615384617,0.140300189696,5.146091078765045,1d_ring,,,13312,16384,16,26,32,0.006979321856,0.111865757696,16.028170072115383,flashoverlap_wave_schedule_contention,0.7902804860966368,1,120989.53846153847,0.7476923076923077,0.9304842103984707,0.7903809523809524,0.6190476190476191,0.006,0.006,0.002857142857142856,0.015056477837326939,0.01522939846125828,2,4,2,16,32,0.8403571428571429,0.9285714285714286,81788928,109051904,109051904,299892736,fused_boundary_tile_replay_v1,6979321856,27262976.0,128,512,256,416,8,1703936,3145728,140300190,140108516,34690071,34498446,0.14030019,0.140108516,0.034690071,0.034498446,1.0013680396129525,1.0055545980245024,4.044390396318301,4.061299340845672,4.066855359224006,1.0041808388583762,1.155,34498446,39845705,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
1x4_ag_gemm_llama_3_1_405b_mlp_s32768,1x4,AG_GEMM,LLaMA-3.1-405B,mlp,32768,32768,13312,16384,32768,53248,16384,32768,53248,16384,0,0,0,57174604644352,57174604644352,57174604644352,1.0,14293651161088,805306368.0,805306368.0,805306368.0,0.4362080886153846,2.244803035136,5.146174712764894,1d_ring,,,13312,16384,256,26,32,0.111669149696,1.789852123136,16.028170072115383,flashoverlap_wave_schedule_contention,0.8126309960608196,1,120989.53846153847,0.7476923076923077,0.9304842103984707,0.8127354497354498,0.9629629629629629,0.006,0.006,0.002857142857142856,0.015056477837326939,0.015235886582309118,2,4,2,16,32,0.8403571428571429,0.9285714285714286,1308622848,1744830464,1744830464,4798283776,fused_boundary_tile_replay_v1,111669149696,436207616.0,128,512,256,6656,8,1703936,3145728,2244803035,2241726065,539861108,536784950,2.244803035,2.241726065,0.539861108,0.53678495,1.0013725896522507,1.0057307083590925,4.1581121546544155,4.176208861667973,4.181941082737137,1.0043521449976527,1.155,536784950,619986617,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
1x4_ag_gemm_mixtral_8x7b_single_expert_attention_s2048,1x4,AG_GEMM,Mixtral-8x7B-single-expert,attention,2048,2048,1536,4096,2048,6144,4096,2048,6144,4096,0,0,0,103079215104,103079215104,103079215104,1.0,25769803776,12582912.0,12582912.0,12582912.0,0.000787456,0.004265705472,5.417071521456437,1d_ring,,,1536,4096,16,3,8,0.000201326592,0.003270377472,16.244140625,flashoverlap_wave_schedule_contention,0.7524065581688704,1,262144.0,0.78,0.9304842103984707,0.7532631578947369,0.15789473684210525,0.006,0.006,0.01,0.015449715651473322,0.01681627315798612,4,2,2,16,8,0.67875,0.75,3145728,37748736,12582912,53477376,fused_boundary_tile_replay_v1,201326592,786432.0,128,512,256,48,8,1703936,3145728,4265705,4219011,1093186,1046583,0.004265705,0.004219011,0.001093186,0.001046583,1.0110675226966699,1.0445287186969405,3.9020852810043305,4.031224470491113,4.075840138813644,1.0330949172524349,1.155,1046583,1208804,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
1x4_ag_gemm_mixtral_8x7b_single_expert_attention_s32768,1x4,AG_GEMM,Mixtral-8x7B-single-expert,attention,32768,32768,1536,4096,32768,6144,4096,32768,6144,4096,0,0,0,1649267441664,1649267441664,1649267441664,1.0,412316860416,201326592.0,201326592.0,201326592.0,0.012583936,0.068251287552,5.423683619497111,1d_ring,,,1536,4096,256,3,8,0.003221225472,0.052326039552,16.244140625,flashoverlap_wave_schedule_contention,0.7908324856706879,1,262144.0,0.78,0.9304842103984707,0.79175,0.75,0.006,0.006,0.01,0.015449715651473322,0.01690907288875592,4,2,2,16,8,0.67875,0.75,50331648,603979776,201326592,855638016,fused_boundary_tile_replay_v1,3221225472,12582912.0,128,512,256,768,8,1703936,3145728,68251288,67483007,16678964,15912265,0.068251288,0.067483007,0.016678964,0.015912265,1.011384806844781,1.0481828953954702,4.092057995928284,4.240942882738567,4.289225198298293,1.0363838652722974,1.155,15912265,18378666,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
1x4_ag_gemm_mixtral_8x7b_single_expert_mlp_s2048,1x4,AG_GEMM,Mixtral-8x7B-single-expert,mlp,2048,2048,3584,4096,2048,14336,4096,2048,14336,4096,0,0,0,240518168576,240518168576,240518168576,1.0,60129542144,12582912.0,12582912.0,12582912.0,0.001835446857142857,0.009715744767999999,5.293394755718499,1d_ring,,,3584,4096,16,7,8,0.000469762048,0.007565344768,16.104631696428573,flashoverlap_wave_schedule_contention,0.7674030134123031,1,112347.42857142857,0.7457142857142857,0.9304842103984707,0.7677826086956522,0.30434782608695654,0.006,0.006,0.005,0.015205184396559816,0.015829885283161444,2,4,2,16,8,0.791875,0.875,22020096,29360128,29360128,80740352,fused_boundary_tile_replay_v1,469762048,1835008.0,128,512,256,112,8,1703936,3145728,9715745,9668302,2439162,2391764,0.009715745,0.009668302,0.002439162,0.002391764,1.0049070664114548,1.0198171725972964,3.9832307161229963,4.0423310995566455,4.062167086719258,1.014837298576361,1.155,2391764,2762487,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
1x4_ag_gemm_mixtral_8x7b_single_expert_mlp_s32768,1x4,AG_GEMM,Mixtral-8x7B-single-expert,mlp,32768,32768,3584,4096,32768,14336,4096,32768,14336,4096,0,0,0,3848290697216,3848290697216,3848290697216,1.0,962072674304,201326592.0,201326592.0,201326592.0,0.029360566857142858,0.15545191628799998,5.294581574135431,1d_ring,,,3584,4096,256,7,8,0.007516192768,0.121045516288,16.104631696428573,flashoverlap_wave_schedule_contention,0.8044764083832394,1,112347.42857142857,0.7457142857142857,0.9304842103984707,0.804875,0.875,0.006,0.006,0.005,0.015205184396559816,0.015869977920468036,2,4,2,16,8,0.791875,0.875,352321536,469762048,469762048,1291845632,fused_boundary_tile_replay_v1,7516192768,29360128.0,128,512,256,1792,8,1703936,3145728,155451916,154683350,37264305,36496492,0.155451916,0.15468335,0.037264305,0.036496492,1.0049686407748475,1.0210379945557508,4.171603790812682,4.238307341976867,4.259365968652549,1.015989905683538,1.155,36496492,42153449,analytical_resource_replay_fallback,analytical_resource_replay_fallback,analytical_resource_replay_fallback,canonical_experiment_fallback,estimated_via_tiling_and_padding,
