case_id,state,M,N,K,D,logical_shape,valid_flops,local_output_bytes,T_comp_ns,T_move_ns,T_intra_ns,T_ring_ns,T_total_ns,selected_candidate,evidence
d6_m8192_n12288_k1024,I0,8192,12288,1024,6,"[8192, 12288, 1024]",206158430208,33554432,383479.22285714286,135072.0,518551.22285714286,226453.33333333334,745004.5561904762,split_k_barrier,analytical_preflight_model_not_npusim
d6_m8192_n12288_k1024,I1,8192,12288,1024,6,"[8192, 12288, 1024]",206158430208,33554432,383479.22285714286,135072.0,451015.22285714286,226453.33333333334,677468.5561904762,split_k_streaming_model,analytical_preflight_model_not_npusim
d6_m16384_n12288_k1024,I0,16384,12288,1024,6,"[16384, 12288, 1024]",412316860416,67108864,766958.4457142857,266144.0,1033102.4457142857,444906.6666666667,1478009.1123809523,split_k_barrier,analytical_preflight_model_not_npusim
d6_m16384_n12288_k1024,I1,16384,12288,1024,6,"[16384, 12288, 1024]",412316860416,67108864,766958.4457142857,266144.0,900030.4457142857,444906.6666666667,1344937.1123809523,split_k_streaming_model,analytical_preflight_model_not_npusim
d6_m256_n12288_k4096,I0,256,12288,4096,6,"[256, 12288, 4096]",25769803776,1048576,47934.90285714286,8096.0,56030.90285714286,14826.666666666668,70857.56952380952,split_k_barrier,analytical_preflight_model_not_npusim
d6_m256_n12288_k4096,I1,256,12288,4096,6,"[256, 12288, 4096]",25769803776,1048576,47934.90285714286,8096.0,51982.90285714286,14826.666666666668,66809.56952380952,split_k_streaming_model,analytical_preflight_model_not_npusim
d6_m512_n12288_k4096,I0,512,12288,4096,6,"[512, 12288, 4096]",51539607552,2097152,95869.80571428571,12192.0,108061.80571428571,21653.333333333336,129715.13904761904,split_k_barrier,analytical_preflight_model_not_npusim
d6_m512_n12288_k4096,I1,512,12288,4096,6,"[512, 12288, 4096]",51539607552,2097152,95869.80571428571,12192.0,101965.80571428571,21653.333333333336,123619.13904761904,split_k_streaming_model,analytical_preflight_model_not_npusim
d6_m1024_n12288_k4096,I0,1024,12288,4096,6,"[1024, 12288, 4096]",103079215104,4194304,191739.61142857143,20384.0,212123.61142857143,35306.66666666667,247430.27809523809,split_k_barrier,analytical_preflight_model_not_npusim
d6_m1024_n12288_k4096,I1,1024,12288,4096,6,"[1024, 12288, 4096]",103079215104,4194304,191739.61142857143,20384.0,201931.61142857143,35306.66666666667,237238.27809523809,split_k_streaming_model,analytical_preflight_model_not_npusim
d6_m2048_n12288_k4096,I0,2048,12288,4096,6,"[2048, 12288, 4096]",206158430208,8388608,383479.22285714286,36768.0,420247.22285714286,62613.333333333336,482860.55619047617,split_k_barrier,analytical_preflight_model_not_npusim
d6_m2048_n12288_k4096,I1,2048,12288,4096,6,"[2048, 12288, 4096]",206158430208,8388608,383479.22285714286,36768.0,401863.22285714286,62613.333333333336,464476.55619047617,split_k_streaming_model,analytical_preflight_model_not_npusim
d6_m4096_n12288_k4096,I0,4096,12288,4096,6,"[4096, 12288, 4096]",412316860416,16777216,766958.4457142857,69536.0,836494.4457142857,117226.66666666667,953721.1123809523,split_k_barrier,analytical_preflight_model_not_npusim
d6_m4096_n12288_k4096,I1,4096,12288,4096,6,"[4096, 12288, 4096]",412316860416,16777216,766958.4457142857,69536.0,801726.4457142857,117226.66666666667,918953.1123809523,split_k_streaming_model,analytical_preflight_model_not_npusim
d6_m8192_n12288_k4096,I0,8192,12288,4096,6,"[8192, 12288, 4096]",824633720832,33554432,1533916.8914285714,135072.0,1668988.8914285714,226453.33333333334,1895442.2247619047,split_k_barrier,analytical_preflight_model_not_npusim
d6_m8192_n12288_k4096,I1,8192,12288,4096,6,"[8192, 12288, 4096]",824633720832,33554432,1533916.8914285714,135072.0,1601452.8914285714,226453.33333333334,1827906.2247619047,split_k_streaming_model,analytical_preflight_model_not_npusim
d6_m16384_n12288_k4096,I0,16384,12288,4096,6,"[16384, 12288, 4096]",1649267441664,67108864,3067833.782857143,266144.0,3333977.782857143,444906.6666666667,3778884.4495238094,split_k_barrier,analytical_preflight_model_not_npusim
d6_m16384_n12288_k4096,I1,16384,12288,4096,6,"[16384, 12288, 4096]",1649267441664,67108864,3067833.782857143,266144.0,3200905.782857143,444906.6666666667,3645812.4495238094,split_k_streaming_model,analytical_preflight_model_not_npusim
d6_m256_n12288_k16384,I0,256,12288,16384,6,"[256, 12288, 16384]",103079215104,1048576,191739.61142857143,8096.0,199835.61142857143,14826.666666666668,214662.27809523809,split_k_barrier,analytical_preflight_model_not_npusim
d6_m256_n12288_k16384,I1,256,12288,16384,6,"[256, 12288, 16384]",103079215104,1048576,191739.61142857143,8096.0,195787.61142857143,14826.666666666668,210614.27809523809,split_k_streaming_model,analytical_preflight_model_not_npusim
d6_m512_n12288_k16384,I0,512,12288,16384,6,"[512, 12288, 16384]",206158430208,2097152,383479.22285714286,12192.0,395671.22285714286,21653.333333333336,417324.55619047617,split_k_barrier,analytical_preflight_model_not_npusim
d6_m512_n12288_k16384,I1,512,12288,16384,6,"[512, 12288, 16384]",206158430208,2097152,383479.22285714286,12192.0,389575.22285714286,21653.333333333336,411228.55619047617,split_k_streaming_model,analytical_preflight_model_not_npusim
d6_m1024_n12288_k16384,I0,1024,12288,16384,6,"[1024, 12288, 16384]",412316860416,4194304,766958.4457142857,20384.0,787342.4457142857,35306.66666666667,822649.1123809523,split_k_barrier,analytical_preflight_model_not_npusim
d6_m1024_n12288_k16384,I1,1024,12288,16384,6,"[1024, 12288, 16384]",412316860416,4194304,766958.4457142857,20384.0,777150.4457142857,35306.66666666667,812457.1123809523,split_k_streaming_model,analytical_preflight_model_not_npusim
