case_id,operator_family,stage,model_or_moe_config,D,Px,Py,S,state,comparison,inter_enabled,intra_enabled,compute_source,algorithm,compute_time_ns,communication_time_ns,total_time_ns,baseline_state,speedup,inter_port_time_ns,ideal_speedup,attainment,evidence,production_expert_placement_closed,valid_flops,padded_flops,config_sha256,gpu_yaml_sha256,required_shapes_sha256,git_commit
d6_gemm_rs_llama_2_7b_o_proj_s36864,gemm_rs,o_proj,LLaMA-2-7B,6,2,3,36864,G00,gpu_inter,False,,gpu_lut,2d_row_column,2747392.0,983039.9999999999,3730432.0,G00,1.0,,1.3578084234066343,0.7364809223167719,measured_gpu_lut_resource_replay,True,3710851743744,3739842772992,001a288dd44764fde42eda00cdff3bc72d148367a740882e522a4341cc079d2c,eb3dcb3818fb040dc20797e1d45b00e0ed68075a7e4993b58089f7b72e4c20e9,309d5daa0c086f7650d981ef8215a448c215692448f11bec61e58763c4e243aa,3cfda7a0ae49b44335a7b70fa5f12a5b6f657cf0
d6_gemm_rs_llama_2_7b_o_proj_s36864,gemm_rs,o_proj,LLaMA-2-7B,6,2,3,36864,G10,gpu_inter,True,,gpu_lut,2d_row_column,2747392.0,1418096.9045766178,2769803.276460957,G00,1.3468220041845214,,1.3578084234066343,0.9919087118383395,measured_gpu_lut_resource_replay,True,3710851743744,3739842772992,001a288dd44764fde42eda00cdff3bc72d148367a740882e522a4341cc079d2c,eb3dcb3818fb040dc20797e1d45b00e0ed68075a7e4993b58089f7b72e4c20e9,309d5daa0c086f7650d981ef8215a448c215692448f11bec61e58763c4e243aa,3cfda7a0ae49b44335a7b70fa5f12a5b6f657cf0
d6_gemm_rs_llama_2_7b_down_proj_s2304,gemm_rs,down_proj,LLaMA-2-7B,6,2,3,2304,W00,native_full,False,False,wafer_model,fixed_16core_full_control,1949874.0869565217,176639.99999999997,2126514.0,W00,1.0,115199.99999999999,1.0,1.0,analytical_fixed_16core_core_to_d2d_port_full_and_inter_replay_from_exp1,True,207769042944,209430282240,001a288dd44764fde42eda00cdff3bc72d148367a740882e522a4341cc079d2c,eb3dcb3818fb040dc20797e1d45b00e0ed68075a7e4993b58089f7b72e4c20e9,309d5daa0c086f7650d981ef8215a448c215692448f11bec61e58763c4e243aa,3cfda7a0ae49b44335a7b70fa5f12a5b6f657cf0
d6_gemm_rs_llama_2_7b_down_proj_s2304,gemm_rs,down_proj,LLaMA-2-7B,6,2,3,2304,W11,native_full,True,True,wafer_model,fixed_16core_full_control,1899227.2024729522,89473.72320270528,1901309.0,W00,1.118447343382901,38399.99999999999,1.1196733056640624,0.9989050714391781,analytical_fixed_16core_core_to_d2d_port_full_and_inter_replay_from_exp1,True,207769042944,209430282240,001a288dd44764fde42eda00cdff3bc72d148367a740882e522a4341cc079d2c,eb3dcb3818fb040dc20797e1d45b00e0ed68075a7e4993b58089f7b72e4c20e9,309d5daa0c086f7650d981ef8215a448c215692448f11bec61e58763c4e243aa,3cfda7a0ae49b44335a7b70fa5f12a5b6f657cf0
d6_gemm_rs_llama_2_7b_down_proj_s2304,gemm_rs,down_proj,LLaMA-2-7B,6,2,3,2304,C00,native_inter_only,False,False,wafer_model,fixed_16core_inter_control,1949874.0869565217,176639.99999999997,2126514.0,C00,1.0,115199.99999999999,1.0,1.0,analytical_fixed_16core_core_to_d2d_port_inter_only_replay_from_exp1,True,207769042944,209430282240,001a288dd44764fde42eda00cdff3bc72d148367a740882e522a4341cc079d2c,eb3dcb3818fb040dc20797e1d45b00e0ed68075a7e4993b58089f7b72e4c20e9,309d5daa0c086f7650d981ef8215a448c215692448f11bec61e58763c4e243aa,3cfda7a0ae49b44335a7b70fa5f12a5b6f657cf0
d6_gemm_rs_llama_2_7b_down_proj_s2304,gemm_rs,down_proj,LLaMA-2-7B,6,2,3,2304,C10,native_inter_only,True,False,wafer_model,fixed_16core_inter_control,1949874.0869565217,89473.72320270528,1951952.0,C00,1.089429453183275,38399.99999999999,1.09059042028667,0.9989354691900835,analytical_fixed_16core_core_to_d2d_port_inter_only_replay_from_exp1,True,207769042944,209430282240,001a288dd44764fde42eda00cdff3bc72d148367a740882e522a4341cc079d2c,eb3dcb3818fb040dc20797e1d45b00e0ed68075a7e4993b58089f7b72e4c20e9,309d5daa0c086f7650d981ef8215a448c215692448f11bec61e58763c4e243aa,3cfda7a0ae49b44335a7b70fa5f12a5b6f657cf0
d6_gemm_rs_llama_2_7b_down_proj_s2304,gemm_rs,down_proj,LLaMA-2-7B,6,2,3,2304,G00,gpu_inter,False,,gpu_lut,2d_row_column,578560.0,61439.99999999999,640000.0,G00,1.0,,1.1061946902654867,0.904,measured_gpu_lut_resource_replay,True,207769042944,209430282240,001a288dd44764fde42eda00cdff3bc72d148367a740882e522a4341cc079d2c,eb3dcb3818fb040dc20797e1d45b00e0ed68075a7e4993b58089f7b72e4c20e9,309d5daa0c086f7650d981ef8215a448c215692448f11bec61e58763c4e243aa,3cfda7a0ae49b44335a7b70fa5f12a5b6f657cf0
d6_gemm_rs_llama_2_7b_down_proj_s2304,gemm_rs,down_proj,LLaMA-2-7B,6,2,3,2304,G10,gpu_inter,True,,gpu_lut,2d_row_column,578560.0,88631.05653603861,580537.7298864663,G00,1.1024261939446425,,1.1061946902654867,0.9965932793259569,measured_gpu_lut_resource_replay,True,207769042944,209430282240,001a288dd44764fde42eda00cdff3bc72d148367a740882e522a4341cc079d2c,eb3dcb3818fb040dc20797e1d45b00e0ed68075a7e4993b58089f7b72e4c20e9,309d5daa0c086f7650d981ef8215a448c215692448f11bec61e58763c4e243aa,3cfda7a0ae49b44335a7b70fa5f12a5b6f657cf0
d6_gemm_rs_llama_2_7b_down_proj_s36864,gemm_rs,down_proj,LLaMA-2-7B,6,2,3,36864,W00,native_full,False,False,wafer_model,fixed_16core_full_control,30614430.052173913,2826239.9999999995,33440670.0,W00,1.0,1843199.9999999998,1.0,1.0,analytical_fixed_16core_core_to_d2d_port_full_and_inter_replay_from_exp1,True,3324304687104,3350884515840,001a288dd44764fde42eda00cdff3bc72d148367a740882e522a4341cc079d2c,eb3dcb3818fb040dc20797e1d45b00e0ed68075a7e4993b58089f7b72e4c20e9,309d5daa0c086f7650d981ef8215a448c215692448f11bec61e58763c4e243aa,3cfda7a0ae49b44335a7b70fa5f12a5b6f657cf0
d6_gemm_rs_llama_2_7b_down_proj_s36864,gemm_rs,down_proj,LLaMA-2-7B,6,2,3,36864,W11,native_full,True,True,wafer_model,fixed_16core_full_control,29073271.719038818,1427579.5712432845,29097268.0,W00,1.149271814797183,614399.9999999999,1.1502203922271728,0.999175308109298,analytical_fixed_16core_core_to_d2d_port_full_and_inter_replay_from_exp1,True,3324304687104,3350884515840,001a288dd44764fde42eda00cdff3bc72d148367a740882e522a4341cc079d2c,eb3dcb3818fb040dc20797e1d45b00e0ed68075a7e4993b58089f7b72e4c20e9,309d5daa0c086f7650d981ef8215a448c215692448f11bec61e58763c4e243aa,3cfda7a0ae49b44335a7b70fa5f12a5b6f657cf0
d6_gemm_rs_llama_2_7b_down_proj_s36864,gemm_rs,down_proj,LLaMA-2-7B,6,2,3,36864,C00,native_inter_only,False,False,wafer_model,fixed_16core_inter_control,30614430.052173913,2826239.9999999995,33440670.0,C00,1.0,1843199.9999999998,1.0,1.0,analytical_fixed_16core_core_to_d2d_port_inter_only_replay_from_exp1,True,3324304687104,3350884515840,001a288dd44764fde42eda00cdff3bc72d148367a740882e522a4341cc079d2c,eb3dcb3818fb040dc20797e1d45b00e0ed68075a7e4993b58089f7b72e4c20e9,309d5daa0c086f7650d981ef8215a448c215692448f11bec61e58763c4e243aa,3cfda7a0ae49b44335a7b70fa5f12a5b6f657cf0
d6_gemm_rs_llama_2_7b_down_proj_s36864,gemm_rs,down_proj,LLaMA-2-7B,6,2,3,36864,C10,native_inter_only,True,False,wafer_model,fixed_16core_inter_control,30614430.052173913,1427579.5712432845,30638327.0,C00,1.0914652748500269,614399.9999999999,1.0923172485331112,0.999220030916633,analytical_fixed_16core_core_to_d2d_port_inter_only_replay_from_exp1,True,3324304687104,3350884515840,001a288dd44764fde42eda00cdff3bc72d148367a740882e522a4341cc079d2c,eb3dcb3818fb040dc20797e1d45b00e0ed68075a7e4993b58089f7b72e4c20e9,309d5daa0c086f7650d981ef8215a448c215692448f11bec61e58763c4e243aa,3cfda7a0ae49b44335a7b70fa5f12a5b6f657cf0
d6_gemm_rs_llama_2_7b_down_proj_s36864,gemm_rs,down_proj,LLaMA-2-7B,6,2,3,36864,G00,gpu_inter,False,,gpu_lut,2d_row_column,8373248.0,983039.9999999999,9356288.0,G00,1.0,,1.117402470343647,0.8949326912553354,measured_gpu_lut_resource_replay,True,3324304687104,3350884515840,001a288dd44764fde42eda00cdff3bc72d148367a740882e522a4341cc079d2c,eb3dcb3818fb040dc20797e1d45b00e0ed68075a7e4993b58089f7b72e4c20e9,309d5daa0c086f7650d981ef8215a448c215692448f11bec61e58763c4e243aa,3cfda7a0ae49b44335a7b70fa5f12a5b6f657cf0
d6_gemm_rs_llama_2_7b_down_proj_s36864,gemm_rs,down_proj,LLaMA-2-7B,6,2,3,36864,G10,gpu_inter,True,,gpu_lut,2d_row_column,8373248.0,1418096.9045766178,8395659.276460957,G00,1.1144196890210127,,1.117402470343647,0.9973306114835089,measured_gpu_lut_resource_replay,True,3324304687104,3350884515840,001a288dd44764fde42eda00cdff3bc72d148367a740882e522a4341cc079d2c,eb3dcb3818fb040dc20797e1d45b00e0ed68075a7e4993b58089f7b72e4c20e9,309d5daa0c086f7650d981ef8215a448c215692448f11bec61e58763c4e243aa,3cfda7a0ae49b44335a7b70fa5f12a5b6f657cf0
d6_gemm_rs_gpt_3_175b_o_proj_s2304,gemm_rs,o_proj,GPT-3-175B,6,2,3,2304,W00,native_full,False,False,wafer_model,fixed_16core_full_control,16885314.782608695,529920.0,17415235.0,W00,1.0,345600.0,1.0,1.0,analytical_fixed_16core_core_to_d2d_port_full_and_inter_replay_from_exp1,True,2087354105856,2087354105856,001a288dd44764fde42eda00cdff3bc72d148367a740882e522a4341cc079d2c,eb3dcb3818fb040dc20797e1d45b00e0ed68075a7e4993b58089f7b72e4c20e9,309d5daa0c086f7650d981ef8215a448c215692448f11bec61e58763c4e243aa,3cfda7a0ae49b44335a7b70fa5f12a5b6f657cf0
d6_gemm_rs_gpt_3_175b_o_proj_s2304,gemm_rs,o_proj,GPT-3-175B,6,2,3,2304,W11,native_full,True,True,wafer_model,fixed_16core_full_control,16718073.475127438,267887.83627478254,16722832.0,W00,1.0414046496430749,115200.0,1.0417010683623191,0.9997154474270529,analytical_fixed_16core_core_to_d2d_port_full_and_inter_replay_from_exp1,True,2087354105856,2087354105856,001a288dd44764fde42eda00cdff3bc72d148367a740882e522a4341cc079d2c,eb3dcb3818fb040dc20797e1d45b00e0ed68075a7e4993b58089f7b72e4c20e9,309d5daa0c086f7650d981ef8215a448c215692448f11bec61e58763c4e243aa,3cfda7a0ae49b44335a7b70fa5f12a5b6f657cf0
d6_gemm_rs_gpt_3_175b_o_proj_s2304,gemm_rs,o_proj,GPT-3-175B,6,2,3,2304,C00,native_inter_only,False,False,wafer_model,fixed_16core_inter_control,16885314.782608695,529920.0,17415235.0,C00,1.0,345600.0,1.0,1.0,analytical_fixed_16core_core_to_d2d_port_inter_only_replay_from_exp1,True,2087354105856,2087354105856,001a288dd44764fde42eda00cdff3bc72d148367a740882e522a4341cc079d2c,eb3dcb3818fb040dc20797e1d45b00e0ed68075a7e4993b58089f7b72e4c20e9,309d5daa0c086f7650d981ef8215a448c215692448f11bec61e58763c4e243aa,3cfda7a0ae49b44335a7b70fa5f12a5b6f657cf0
d6_gemm_rs_gpt_3_175b_o_proj_s2304,gemm_rs,o_proj,GPT-3-175B,6,2,3,2304,C10,native_inter_only,True,False,wafer_model,fixed_16core_inter_control,16885314.782608695,267887.83627478254,16890072.0,C00,1.0310929994851414,115200.0,1.0313834965005866,0.9997183423853195,analytical_fixed_16core_core_to_d2d_port_inter_only_replay_from_exp1,True,2087354105856,2087354105856,001a288dd44764fde42eda00cdff3bc72d148367a740882e522a4341cc079d2c,eb3dcb3818fb040dc20797e1d45b00e0ed68075a7e4993b58089f7b72e4c20e9,309d5daa0c086f7650d981ef8215a448c215692448f11bec61e58763c4e243aa,3cfda7a0ae49b44335a7b70fa5f12a5b6f657cf0
d6_gemm_rs_gpt_3_175b_o_proj_s2304,gemm_rs,o_proj,GPT-3-175B,6,2,3,2304,G00,gpu_inter,False,,gpu_lut,2d_row_column,1603584.0,184320.0,1787904.0,G00,1.0,,1.1149425287356323,0.8969072164948453,measured_gpu_lut_resource_replay,True,2087354105856,2087354105856,001a288dd44764fde42eda00cdff3bc72d148367a740882e522a4341cc079d2c,eb3dcb3818fb040dc20797e1d45b00e0ed68075a7e4993b58089f7b72e4c20e9,309d5daa0c086f7650d981ef8215a448c215692448f11bec61e58763c4e243aa,3cfda7a0ae49b44335a7b70fa5f12a5b6f657cf0
d6_gemm_rs_gpt_3_175b_o_proj_s2304,gemm_rs,o_proj,GPT-3-175B,6,2,3,2304,G10,gpu_inter,True,,gpu_lut,2d_row_column,1603584.0,265893.16960811586,1608222.0368801074,G00,1.111727086807285,,1.1149425287356323,0.9971160469302452,measured_gpu_lut_resource_replay,True,2087354105856,2087354105856,001a288dd44764fde42eda00cdff3bc72d148367a740882e522a4341cc079d2c,eb3dcb3818fb040dc20797e1d45b00e0ed68075a7e4993b58089f7b72e4c20e9,309d5daa0c086f7650d981ef8215a448c215692448f11bec61e58763c4e243aa,3cfda7a0ae49b44335a7b70fa5f12a5b6f657cf0
d6_gemm_rs_gpt_3_175b_o_proj_s36864,gemm_rs,o_proj,GPT-3-175B,6,2,3,36864,W00,native_full,False,False,wafer_model,fixed_16core_full_control,264913038.4695652,8478720.0,273391758.0,W00,1.0,5529600.0,1.0,1.0,analytical_fixed_16core_core_to_d2d_port_full_and_inter_replay_from_exp1,True,33397665693696,33397665693696,001a288dd44764fde42eda00cdff3bc72d148367a740882e522a4341cc079d2c,eb3dcb3818fb040dc20797e1d45b00e0ed68075a7e4993b58089f7b72e4c20e9,309d5daa0c086f7650d981ef8215a448c215692448f11bec61e58763c4e243aa,3cfda7a0ae49b44335a7b70fa5f12a5b6f657cf0
