case_id,operator_family,model_or_moe_config,stage,S,D,comparison,baseline_state,optimized_state,speedup,ideal_speedup,attainment
d36_dispatch_gemm_deepseek_v3_up_gate_s36864,dispatch_gemm,DeepSeek-V3,up_gate,36864,36,native_full,W00,W11,1.7624279365798992,1.7624467261658927,0.9999893389197446
d36_dispatch_gemm_deepseek_v3_up_gate_s36864,dispatch_gemm,DeepSeek-V3,up_gate,36864,36,native_inter_only,C00,C10,1.0852079563971369,1.0858868904879972,0.9993747653675464
d6_dispatch_gemm_mixtral_8x7b_down_s2304,dispatch_gemm,Mixtral-8x7B,down,2304,6,gpu_inter,G00,G10,1.0065578130159227,1.0065578130159227,1.0
d6_dispatch_gemm_mixtral_8x7b_down_s2304,dispatch_gemm,Mixtral-8x7B,down,2304,6,native_full,W00,W11,1.925569637469545,1.924963271592887,1.0003150012707287
d6_dispatch_gemm_mixtral_8x7b_down_s2304,dispatch_gemm,Mixtral-8x7B,down,2304,6,native_inter_only,C00,C10,1.006412570584762,1.006542675567966,0.9998707407183399
d9_dispatch_gemm_mixtral_8x7b_down_s2304,dispatch_gemm,Mixtral-8x7B,down,2304,9,gpu_inter,G00,G10,1.0061519004875887,1.0061519004875887,1.0
d9_dispatch_gemm_mixtral_8x7b_down_s2304,dispatch_gemm,Mixtral-8x7B,down,2304,9,native_full,W00,W11,1.9259106975204043,1.9253039724552636,1.000315132090216
d9_dispatch_gemm_mixtral_8x7b_down_s2304,dispatch_gemm,Mixtral-8x7B,down,2304,9,native_inter_only,C00,C10,1.0078513403446965,1.0080132116211131,0.9998394155209966
d36_dispatch_gemm_mixtral_8x7b_down_s2304,dispatch_gemm,Mixtral-8x7B,down,2304,36,gpu_inter,G00,G10,1.003142818727355,1.003142818727355,1.0
d36_dispatch_gemm_mixtral_8x7b_down_s2304,dispatch_gemm,Mixtral-8x7B,down,2304,36,native_full,W00,W11,1.9277680391581438,1.9271614850618057,1.0003147396318575
d36_dispatch_gemm_mixtral_8x7b_down_s2304,dispatch_gemm,Mixtral-8x7B,down,2304,36,native_inter_only,C00,C10,1.0156695261228075,1.016025882877191,0.9996492640981011
d6_dispatch_gemm_mixtral_8x7b_down_s36864,dispatch_gemm,Mixtral-8x7B,down,36864,6,gpu_inter,G00,G10,1.0137515706389073,1.0137515706389073,1.0
d6_dispatch_gemm_mixtral_8x7b_down_s36864,dispatch_gemm,Mixtral-8x7B,down,36864,6,native_full,W00,W11,1.8581141322949288,1.8572973353192863,1.000439777175205
d6_dispatch_gemm_mixtral_8x7b_down_s36864,dispatch_gemm,Mixtral-8x7B,down,36864,6,native_inter_only,C00,C10,1.0074897697281564,1.0075316924485704,0.9999583906682755
d9_dispatch_gemm_mixtral_8x7b_down_s36864,dispatch_gemm,Mixtral-8x7B,down,36864,9,gpu_inter,G00,G10,1.0162579870296884,1.0162579870296884,1.0
d9_dispatch_gemm_mixtral_8x7b_down_s36864,dispatch_gemm,Mixtral-8x7B,down,36864,9,native_full,W00,W11,1.8584917212355483,1.8576747582779032,1.000439777175205
d9_dispatch_gemm_mixtral_8x7b_down_s36864,dispatch_gemm,Mixtral-8x7B,down,36864,9,native_inter_only,C00,C10,1.009170162480396,1.0092244046567418,0.9999462536021765
d36_dispatch_gemm_mixtral_8x7b_down_s36864,dispatch_gemm,Mixtral-8x7B,down,36864,36,gpu_inter,G00,G10,1.026489306453544,1.026489306453544,1.0
d36_dispatch_gemm_mixtral_8x7b_down_s36864,dispatch_gemm,Mixtral-8x7B,down,36864,36,native_full,W00,W11,1.860549328012847,1.8597314605644801,1.000439777175205
d36_dispatch_gemm_mixtral_8x7b_down_s36864,dispatch_gemm,Mixtral-8x7B,down,36864,36,native_inter_only,C00,C10,1.018305266143015,1.0184487940489704,0.9998590720448647
d6_dispatch_gemm_mixtral_8x7b_up_gate_s2304,dispatch_gemm,Mixtral-8x7B,up_gate,2304,6,gpu_inter,G00,G10,1.0027234361426904,1.0029758143097465,0.9997483706352085
d6_dispatch_gemm_mixtral_8x7b_up_gate_s2304,dispatch_gemm,Mixtral-8x7B,up_gate,2304,6,native_full,W00,W11,1.7804733214242108,1.7806159650137239,0.9999198908735427
d6_dispatch_gemm_mixtral_8x7b_up_gate_s2304,dispatch_gemm,Mixtral-8x7B,up_gate,2304,6,native_inter_only,C00,C10,1.004262618830315,1.004420698033938,0.9998426165411242
d9_dispatch_gemm_mixtral_8x7b_up_gate_s2304,dispatch_gemm,Mixtral-8x7B,up_gate,2304,9,gpu_inter,G00,G10,1.0029575060776548,1.0031773551968866,0.9997808472070339
d9_dispatch_gemm_mixtral_8x7b_up_gate_s2304,dispatch_gemm,Mixtral-8x7B,up_gate,2304,9,native_full,W00,W11,1.7806863812825076,1.780829041941427,0.9999198908735428
d9_dispatch_gemm_mixtral_8x7b_up_gate_s2304,dispatch_gemm,Mixtral-8x7B,up_gate,2304,9,native_inter_only,C00,C10,1.005218678972381,1.0054142103497652,0.9998055215697457
d36_dispatch_gemm_mixtral_8x7b_up_gate_s2304,dispatch_gemm,Mixtral-8x7B,up_gate,2304,36,gpu_inter,G00,G10,1.0015859051242424,1.0016428370620265,0.999943161438711
d36_dispatch_gemm_mixtral_8x7b_up_gate_s2304,dispatch_gemm,Mixtral-8x7B,up_gate,2304,36,native_full,W00,W11,1.7818474070456336,1.7819910345310543,0.9999194005566596
d36_dispatch_gemm_mixtral_8x7b_up_gate_s2304,dispatch_gemm,Mixtral-8x7B,up_gate,2304,36,native_inter_only,C00,C10,1.0104150082770285,1.010828721582561,0.9995907186878457
d6_dispatch_gemm_mixtral_8x7b_up_gate_s36864,dispatch_gemm,Mixtral-8x7B,up_gate,36864,6,gpu_inter,G00,G10,1.006629242437591,1.0066686588863218,0.999960844664843
d6_dispatch_gemm_mixtral_8x7b_up_gate_s36864,dispatch_gemm,Mixtral-8x7B,up_gate,36864,6,native_full,W00,W11,1.695946794484186,1.6959572473168887,0.9999938366178043
d6_dispatch_gemm_mixtral_8x7b_up_gate_s36864,dispatch_gemm,Mixtral-8x7B,up_gate,36864,6,native_inter_only,C00,C10,1.0051212604347963,1.0051552702797644,0.9999661645857375
d9_dispatch_gemm_mixtral_8x7b_up_gate_s36864,dispatch_gemm,Mixtral-8x7B,up_gate,36864,9,gpu_inter,G00,G10,1.0075691337240784,1.0076058404668593,0.999963570335436
d9_dispatch_gemm_mixtral_8x7b_up_gate_s36864,dispatch_gemm,Mixtral-8x7B,up_gate,36864,9,native_full,W00,W11,1.6961827426462897,1.696193216187886,0.9999938252661923
d9_dispatch_gemm_mixtral_8x7b_up_gate_s36864,dispatch_gemm,Mixtral-8x7B,up_gate,36864,9,native_inter_only,C00,C10,1.0062702664973515,1.0063138853966556,0.9999566547774635
d36_dispatch_gemm_mixtral_8x7b_up_gate_s36864,dispatch_gemm,Mixtral-8x7B,up_gate,36864,36,gpu_inter,G00,G10,1.0090870182202385,1.0091089709939065,0.9999782453884575
d36_dispatch_gemm_mixtral_8x7b_up_gate_s36864,dispatch_gemm,Mixtral-8x7B,up_gate,36864,36,native_full,W00,W11,1.6974685930743478,1.6974790745557775,0.9999938252661922
d36_dispatch_gemm_mixtral_8x7b_up_gate_s36864,dispatch_gemm,Mixtral-8x7B,up_gate,36864,36,native_inter_only,C00,C10,1.012516900626506,1.0126277837276483,0.9998904996456506
d6_gemm_rs_gpt_3_175b_down_proj_s2304,gemm_rs,GPT-3-175B,down_proj,2304,6,gpu_inter,G00,G10,1.0845061816231858,1.0868725868725868,0.9978227390422918
d6_gemm_rs_gpt_3_175b_down_proj_s2304,gemm_rs,GPT-3-175B,down_proj,2304,6,native_full,W00,W11,1.0285971698405592,1.028815358156505,0.9997879227655225
d6_gemm_rs_gpt_3_175b_down_proj_s2304,gemm_rs,GPT-3-175B,down_proj,2304,6,native_inter_only,C00,C10,1.023437816922424,1.0236538029384923,0.9997890048222864
d9_gemm_rs_gpt_3_175b_down_proj_s2304,gemm_rs,GPT-3-175B,down_proj,2304,9,gpu_inter,G00,G10,1.0766324994675378,1.0789149198520345,0.9978845223636266
d9_gemm_rs_gpt_3_175b_down_proj_s2304,gemm_rs,GPT-3-175B,down_proj,2304,9,native_full,W00,W11,1.0483206167120995,1.0486920163320157,0.9996458449057186
d9_gemm_rs_gpt_3_175b_down_proj_s2304,gemm_rs,GPT-3-175B,down_proj,2304,9,native_inter_only,C00,C10,1.0360911519815803,1.0364538329290203,0.9996500751544186
d36_gemm_rs_gpt_3_175b_down_proj_s2304,gemm_rs,GPT-3-175B,down_proj,2304,36,gpu_inter,G00,G10,1.2947869920151596,1.310192023633678,0.9882421573779742
d36_gemm_rs_gpt_3_175b_down_proj_s2304,gemm_rs,GPT-3-175B,down_proj,2304,36,native_full,W00,W11,1.2148887108296118,1.2174610926481078,0.9978870932023785
d36_gemm_rs_gpt_3_175b_down_proj_s2304,gemm_rs,GPT-3-175B,down_proj,2304,36,native_inter_only,C00,C10,1.1360670173133864,1.1383038209228467,0.9980349678457138
d6_gemm_rs_gpt_3_175b_down_proj_s36864,gemm_rs,GPT-3-175B,down_proj,36864,6,gpu_inter,G00,G10,1.0954245767860031,1.0977795885108983,0.9978547499429374
d6_gemm_rs_gpt_3_175b_down_proj_s36864,gemm_rs,GPT-3-175B,down_proj,36864,6,native_full,W00,W11,1.0367794266609427,1.036977562461202,0.9998089295203368
d6_gemm_rs_gpt_3_175b_down_proj_s36864,gemm_rs,GPT-3-175B,down_proj,36864,6,native_inter_only,C00,C10,1.0239319105110698,1.0241251123404274,0.9998113493878535
d9_gemm_rs_gpt_3_175b_down_proj_s36864,gemm_rs,GPT-3-175B,down_proj,36864,9,gpu_inter,G00,G10,1.080914771935832,1.0830427356230525,0.9980351987809638
d9_gemm_rs_gpt_3_175b_down_proj_s36864,gemm_rs,GPT-3-175B,down_proj,36864,9,native_full,W00,W11,1.057061250999769,1.0574017102482343,0.9996780227938299
d9_gemm_rs_gpt_3_175b_down_proj_s36864,gemm_rs,GPT-3-175B,down_proj,36864,9,native_inter_only,C00,C10,1.036847886415879,1.0371752439629942,0.999684375857387
d36_gemm_rs_gpt_3_175b_down_proj_s36864,gemm_rs,GPT-3-175B,down_proj,36864,36,gpu_inter,G00,G10,1.3259410931135638,1.3418107833163784,0.9881729298943391
d36_gemm_rs_gpt_3_175b_down_proj_s36864,gemm_rs,GPT-3-175B,down_proj,36864,36,native_full,W00,W11,1.2283612228011538,1.2308192370298678,0.9980029445797048
d36_gemm_rs_gpt_3_175b_down_proj_s36864,gemm_rs,GPT-3-175B,down_proj,36864,36,native_inter_only,C00,C10,1.138792389822037,1.1408901970875782,0.998161254018225
d6_gemm_rs_gpt_3_175b_o_proj_s2304,gemm_rs,GPT-3-175B,o_proj,2304,6,gpu_inter,G00,G10,1.111727086807285,1.1149425287356323,0.9971160469302452
d6_gemm_rs_gpt_3_175b_o_proj_s2304,gemm_rs,GPT-3-175B,o_proj,2304,6,native_full,W00,W11,1.0414046496430749,1.0417010683623191,0.9997154474270529
d6_gemm_rs_gpt_3_175b_o_proj_s2304,gemm_rs,GPT-3-175B,o_proj,2304,6,native_inter_only,C00,C10,1.0310929994851414,1.0313834965005866,0.9997183423853195
d9_gemm_rs_gpt_3_175b_o_proj_s2304,gemm_rs,GPT-3-175B,o_proj,2304,9,gpu_inter,G00,G10,1.1758911615890373,1.1816461684011352,0.9951296699756705
d9_gemm_rs_gpt_3_175b_o_proj_s2304,gemm_rs,GPT-3-175B,o_proj,2304,9,native_full,W00,W11,1.070115432259136,1.0706422319910016,0.9995079591331961
d9_gemm_rs_gpt_3_175b_o_proj_s2304,gemm_rs,GPT-3-175B,o_proj,2304,9,native_inter_only,C00,C10,1.0492190637240941,1.0497250972967191,0.9995179370542553
d36_gemm_rs_gpt_3_175b_o_proj_s2304,gemm_rs,GPT-3-175B,o_proj,2304,36,gpu_inter,G00,G10,1.5366580749947887,1.5706521739130435,0.9783566982665782
d36_gemm_rs_gpt_3_175b_o_proj_s2304,gemm_rs,GPT-3-175B,o_proj,2304,36,native_full,W00,W11,1.326721081368795,1.331112345756117,0.996701056525152
d36_gemm_rs_gpt_3_175b_o_proj_s2304,gemm_rs,GPT-3-175B,o_proj,2304,36,native_inter_only,C00,C10,1.196504883684844,1.2000323692064607,0.9970605080228383
d6_gemm_rs_gpt_3_175b_o_proj_s36864,gemm_rs,GPT-3-175B,o_proj,36864,6,gpu_inter,G00,G10,1.1266976668529747,1.129922852579159,0.9971456584679012
d6_gemm_rs_gpt_3_175b_o_proj_s36864,gemm_rs,GPT-3-175B,o_proj,36864,6,native_full,W00,W11,1.049948649856866,1.0502181752795265,0.9997433624469613
d6_gemm_rs_gpt_3_175b_o_proj_s36864,gemm_rs,GPT-3-175B,o_proj,36864,6,native_inter_only,C00,C10,1.031745544676912,1.0320056709153214,0.999747941076546
d9_gemm_rs_gpt_3_175b_o_proj_s36864,gemm_rs,GPT-3-175B,o_proj,36864,9,gpu_inter,G00,G10,1.1883031003091022,1.1937803450931295,0.9954118487487746
d9_gemm_rs_gpt_3_175b_o_proj_s36864,gemm_rs,GPT-3-175B,o_proj,36864,9,native_full,W00,W11,1.079472590045101,1.0799564565295265,0.9995519574131901
d9_gemm_rs_gpt_3_175b_o_proj_s36864,gemm_rs,GPT-3-175B,o_proj,36864,9,native_inter_only,C00,C10,1.0502436283096153,1.0507010918168487,0.9995646111812424
d36_gemm_rs_gpt_3_175b_o_proj_s36864,gemm_rs,GPT-3-175B,o_proj,36864,36,gpu_inter,G00,G10,1.4140619902399876,1.8221189136285785,0.7760536261730668
