operator_family,S,D,comparison,mean_speedup,min_speedup,max_speedup,case_count
dispatch_gemm,2304,6,gpu_inter,1.0042456865260272,1.0027206883958495,1.0065578130159227,4
dispatch_gemm,2304,6,native_full,1.6395981804489723,1.4177764791341225,1.925569637469545,4
dispatch_gemm,2304,6,native_inter_only,1.0182651345657927,1.004262618830315,1.038276863590776,4
dispatch_gemm,2304,9,gpu_inter,1.003841023629732,1.002187874802643,1.0061519004875887,4
dispatch_gemm,2304,9,native_full,1.640340770532087,1.4187057598799264,1.9259106975204043,4
dispatch_gemm,2304,9,native_inter_only,1.022361586048579,1.005218678972381,1.046860754647992,4
dispatch_gemm,2304,36,gpu_inter,1.001982453244357,1.0010999023311264,1.003142818727355,4
dispatch_gemm,2304,36,native_full,1.6443875457144541,1.423770268712929,1.9277680391581438,4
dispatch_gemm,2304,36,native_inter_only,1.044618300136298,1.0104150082770285,1.0934924895391602,4
dispatch_gemm,36864,6,gpu_inter,1.0238325547981821,1.006629242437591,1.05253559302062,4
dispatch_gemm,36864,6,native_full,1.8103479354190946,1.695946794484186,1.9355538112768738,4
dispatch_gemm,36864,6,native_inter_only,1.0245262214790105,1.0051212604347963,1.0506147505583943,4
dispatch_gemm,36864,9,gpu_inter,1.0229788431041897,1.0075691337240784,1.0438276349496152,4
dispatch_gemm,36864,9,native_full,1.811574810768095,1.6961827426462897,1.9381963196532865,4
dispatch_gemm,36864,9,native_inter_only,1.030026911144041,1.0062702664973515,1.0619651339169738,4
dispatch_gemm,36864,36,gpu_inter,1.0216367556397277,1.0090870182202385,1.0336011867947048,4
dispatch_gemm,36864,36,native_full,1.8182606095781446,1.6974685930743478,1.9525965806454848,4
dispatch_gemm,36864,36,native_inter_only,1.0599121980558348,1.012516900626506,1.1236186690566812,4
gemm_rs,2304,6,gpu_inter,1.1495220445908907,1.0845061816231858,1.2994287159884497,4
gemm_rs,2304,6,native_full,1.076724126562359,1.0285971698405592,1.118447343382901,4
gemm_rs,2304,6,native_inter_only,1.058347430693529,1.023437816922424,1.089429453183275,4
gemm_rs,2304,9,gpu_inter,1.2530042332423696,1.0766324994675378,1.4897752864411726,4
gemm_rs,2304,9,native_full,1.1281650452822491,1.0483206167120995,1.2178454807456256,4
gemm_rs,2304,9,native_inter_only,1.0893207806273042,1.0360911519815803,1.1473216654772813,4
gemm_rs,2304,36,gpu_inter,1.4036629026656517,1.2947869920151596,1.5366580749947887,4
gemm_rs,2304,36,native_full,1.4463442560536122,1.2148887108296118,1.6218836160080208,4
gemm_rs,2304,36,native_inter_only,1.25924438179696,1.1360670173133864,1.3522028130948047,4
gemm_rs,36864,6,gpu_inter,1.170840984211128,1.0954245767860031,1.3468220041845214,4
gemm_rs,36864,6,native_full,1.0963179265280436,1.0367794266609427,1.149271814797183,4
gemm_rs,36864,6,native_inter_only,1.059652001222009,1.0239319105110698,1.0914652748500269,4
gemm_rs,36864,9,gpu_inter,1.2876278952108782,1.080914771935832,1.5900519410208427,4
gemm_rs,36864,9,native_full,1.1499900238603458,1.057061250999769,1.2534421375338503,4
gemm_rs,36864,9,native_inter_only,1.0912918144454262,1.036847886415879,1.1506135182528199,4
gemm_rs,36864,36,gpu_inter,1.2721845355306562,1.1493269668899155,1.4140619902399876,4
gemm_rs,36864,36,native_full,1.4815578195364068,1.2283612228011538,1.6772452396967787,4
gemm_rs,36864,36,native_inter_only,1.2645910889370136,1.138792389822037,1.3596277554267489,4
