n_ctrl,r,B,K,B_s,N_PE,N,e_H,m,DTE_channel
2,both,192,2,768,4096,4,2,1,2
2,both,192,3,512,1024,4,2,1,2
2,both,192,3,512,4096,4,2,1,2
2,both,192,3,1024,1024,4,2,1,2
2,both,192,4,256,12288,4,1,1,2
2,both,192,4,768,1024,4,2,1,2
2,both,192,4,1024,1024,4,2,1,2
2,both,192,4,1024,8192,8,1,1,2
2,both,192,4,1024,8192,8,1,2,2
2,both,192,4,1024,8192,8,2,2,2
2,both,256,1,512,4096,8,2,2,2
2,both,256,1,1024,4096,4,2,1,2
2,both,256,2,512,4096,4,2,1,2
2,both,256,3,768,1024,4,2,1,2
2,both,256,3,1024,1024,4,2,1,2
2,both,256,3,1024,8192,8,1,2,2
2,both,256,3,1024,8192,8,2,2,2
2,both,256,4,768,1024,4,2,1,2
2,both,256,4,768,8192,8,1,2,2
2,both,256,4,768,8192,8,2,2,2
2,both,256,4,1024,1024,4,2,1,2
2,both,256,4,1024,4096,4,2,1,2
2,both,256,4,1024,8192,4,1,1,2
2,both,256,4,1024,8192,4,2,1,2
2,both,256,4,1024,8192,8,1,2,2
2,both,256,4,1024,12288,4,1,1,2
2,both,384,1,1024,8192,8,1,3,3
2,both,384,1,1024,8192,8,2,3,3
2,both,384,2,768,8192,4,1,1,3
2,both,384,2,768,8192,4,2,1,3
2,both,384,2,768,8192,8,1,3,3
2,both,384,2,1024,8192,8,2,3,3
2,both,384,3,512,4096,4,1,1,3
2,both,384,3,512,4096,4,2,1,3
2,both,384,3,512,8192,8,1,3,3
2,both,384,3,768,12288,4,1,1,3
2,both,384,3,1024,4096,4,1,1,3
2,both,384,3,1024,4096,4,2,1,3
2,both,384,3,1024,8192,8,2,3,3
2,both,384,4,768,4096,4,1,1,3
2,both,384,4,768,8192,8,2,3,3
2,both,384,4,1024,4096,4,1,1,3
2,both,384,4,1024,4096,4,2,1,3
2,both,384,4,1024,8192,4,1,1,3
2,both,384,4,1024,8192,4,2,1,3
2,both,384,4,1024,12288,4,1,1,3
2,both,384,4,1024,12288,4,2,1,3
2,both,512,4,512,12288,4,2,1,4
2,both,512,4,1024,8192,4,1,1,4
2,broadcast,192,1,256,4096,4,2,1,2
2,broadcast,192,1,512,1024,4,1,1,2
2,broadcast,192,1,512,1024,4,2,1,2
2,broadcast,192,2,256,1024,4,1,1,2
2,broadcast,192,2,256,1024,4,2,1,2
2,broadcast,192,2,768,1024,4,2,1,2
2,broadcast,192,2,1024,4096,4,2,1,2
2,broadcast,192,3,512,1024,4,2,1,2
2,broadcast,192,4,256,12288,4,1,1,2
2,broadcast,192,4,1024,1024,4,2,1,2
2,broadcast,256,1,512,4096,8,2,2,2
2,broadcast,256,1,1024,1024,4,2,1,2
2,broadcast,256,2,256,4096,8,2,2,2
2,broadcast,256,2,512,1024,4,2,1,2
2,broadcast,256,2,768,4096,4,2,1,2
2,broadcast,256,3,1024,1024,4,2,1,2
2,broadcast,256,4,1024,1024,4,2,1,2
2,broadcast,256,4,1024,4096,4,2,1,2
2,broadcast,256,4,1024,8192,4,2,1,2
2,broadcast,256,4,1024,8192,8,1,2,2
2,broadcast,256,4,1024,8192,8,2,2,2
2,broadcast,256,4,1024,12288,4,1,1,2
2,broadcast,384,2,768,8192,4,1,1,3
2,broadcast,384,2,768,8192,4,2,1,3
2,broadcast,384,2,768,8192,8,1,3,3
2,broadcast,384,2,768,8192,8,2,3,3
2,broadcast,384,2,1024,4096,4,1,1,3
2,broadcast,384,2,1024,4096,4,2,1,3
2,broadcast,384,2,1024,8192,4,1,1,3
2,broadcast,384,3,512,8192,4,1,1,3
2,broadcast,384,3,512,8192,4,2,1,3
2,broadcast,384,3,768,8192,8,1,3,3
2,broadcast,384,3,768,8192,8,2,3,3
2,broadcast,384,3,768,12288,4,1,1,3
2,broadcast,384,3,1024,4096,4,1,1,3
2,broadcast,384,3,1024,4096,4,2,1,3
2,broadcast,384,4,768,4096,4,1,1,3
2,broadcast,384,4,768,4096,4,2,1,3
2,broadcast,384,4,1024,4096,4,1,1,3
2,broadcast,384,4,1024,4096,4,2,1,3
2,broadcast,384,4,1024,8192,4,1,1,3
2,broadcast,384,4,1024,8192,4,2,1,3
2,broadcast,384,4,1024,8192,8,2,3,3
2,broadcast,384,4,1024,12288,4,1,1,3
